Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 21.07.2022	07:37:46.000 - 21.07.2022	13:36:41.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
21.07.2022	11:08:04.237	231.259	231.449	231.966	0.005	400.399	401.439	401.308	48.215	47.283	46.653	3.735	-31780.447	7289.709	32605.777	49.984	0.273
21.07.2022	11:08:04.247	231.535	231.673	232.113	0.005	400.895	401.708	401.662	47.246	46.741	46.825	3.498	-31324.633	7987.833	32327.049	49.988	0.072
21.07.2022	11:08:04.257	231.285	231.552	232.008	0.005	400.521	401.590	401.332	48.216	47.117	46.623	3.552	-32253.744	7307.648	33071.223	49.988	0.084
21.07.2022	11:08:04.267	231.255	231.731	232.017	0.005	400.683	401.825	401.209	48.293	46.591	46.762	3.746	-31302.547	7573.589	32205.725	49.987	0.182
21.07.2022	11:08:04.277	231.383	231.642	232.220	0.005	400.613	401.885	401.638	47.339	46.958	46.052	4.052	-31558.180	7701.262	32484.275	49.992	-0.044
21.07.2022	11:08:04.287	231.219	231.379	231.822	0.005	400.337	401.220	401.149	48.184	47.450	46.626	4.047	-32181.346	7326.031	33004.695	49.989	0.198
21.07.2022	11:08:04.297	231.377	231.898	232.124	0.005	400.952	402.080	401.371	47.645	46.282	46.456	3.989	-30846.121	7404.985	31722.500	49.992	0.089
21.07.2022	11:08:04.307	231.271	231.764	232.361	0.005	400.548	402.257	401.592	47.762	46.818	45.580	4.045	-32031.568	7479.449	32893.215	49.996	0.006
21.07.2022	11:08:04.317	231.193	231.434	231.932	0.005	400.323	401.421	401.203	48.236	47.242	46.838	3.735	-31862.711	7126.106	32649.865	49.994	0.364
21.07.2022	11:08:04.327	231.401	231.556	231.973	0.005	400.687	401.488	401.415	47.296	46.750	46.958	3.444	-31356.242	7861.844	32326.809	49.998	0.101
21.07.2022	11:08:04.337	231.062	231.337	231.776	0.005	400.147	401.204	400.933	48.266	47.191	46.806	3.479	-32278.318	7535.843	33146.324	49.999	0.094
21.07.2022	11:08:04.347	230.972	231.455	231.737	0.005	400.197	401.344	400.722	48.379	46.829	47.104	3.629	-31410.449	7797.463	32363.818	49.997	0.241
21.07.2022	11:08:04.357	231.059	231.304	231.876	0.005	400.047	401.282	401.065	47.486	47.269	46.417	3.968	-31616.242	7983.436	32608.617	49.999	-0.071
21.07.2022	11:08:04.367	230.863	231.008	231.451	0.005	399.714	400.569	400.522	48.368	47.688	47.052	3.928	-32242.008	7763.438	33163.504	49.995	0.034
21.07.2022	11:08:04.377	230.993	231.504	231.727	0.005	400.284	401.387	400.696	47.987	46.477	46.827	3.761	-30870.793	7914.829	31869.271	49.996	-0.086
