Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 20.10.2022	08:12:16.000 - 20.10.2022	14:44:35.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
20.10.2022	08:14:24.434	230.902	231.888	232.274	0.019	400.109	402.119	401.588	59.303	35.271	39.933	38.977	29785.797	-1091.868	29805.803	50.098	0.303
20.10.2022	08:14:24.444	230.557	231.827	232.340	0.019	399.594	402.343	401.291	57.743	35.015	40.731	37.628	28450.492	-666.974	28458.309	50.101	0.191
20.10.2022	08:14:24.454	230.433	231.505	231.994	0.018	399.297	401.641	400.920	57.367	35.366	39.806	37.298	29267.516	-1068.206	29287.002	50.099	0.392
20.10.2022	08:14:24.464	230.650	231.663	232.260	0.018	399.562	402.003	401.401	58.619	34.846	40.328	38.166	29121.633	-795.596	29132.498	50.105	0.034
20.10.2022	08:14:24.474	230.365	231.352	231.944	0.018	399.065	401.452	400.870	57.659	35.054	40.065	37.214	28832.840	-1054.753	28852.125	50.105	0.227
20.10.2022	08:14:24.484	230.486	231.843	232.014	0.018	399.735	402.020	400.815	57.580	36.484	40.346	37.127	29702.340	-997.262	29719.076	50.108	0.282
20.10.2022	08:14:24.494	230.401	231.859	232.357	0.018	399.441	402.495	401.107	57.757	35.448	41.917	37.381	29168.621	-925.420	29183.297	50.117	0.146
20.10.2022	08:14:24.504	230.148	231.036	231.721	0.018	398.586	400.952	400.541	57.826	34.573	40.362	37.439	28686.613	-699.208	28695.133	50.116	0.603
20.10.2022	08:14:24.514	230.394	231.464	231.814	0.018	399.307	401.387	400.710	58.902	35.004	39.564	38.454	29489.398	-951.103	29504.732	50.122	0.377
20.10.2022	08:14:24.524	230.060	231.405	231.888	0.018	398.809	401.612	400.435	57.608	34.846	40.320	37.478	28334.771	-714.436	28343.775	50.124	0.243
20.10.2022	08:14:24.534	229.935	231.016	231.521	0.018	398.442	400.808	400.079	57.207	35.141	39.387	37.214	28924.570	-884.116	28938.078	50.121	0.382
20.10.2022	08:14:24.544	230.176	231.176	231.798	0.018	398.731	401.169	400.602	58.454	34.627	39.786	38.146	28928.637	-760.696	28938.637	50.126	-0.053
20.10.2022	08:14:24.554	229.945	230.914	231.547	0.018	398.314	400.720	400.179	57.456	34.844	39.746	37.191	28577.492	-888.789	28591.311	50.123	0.110
20.10.2022	08:14:24.564	230.128	231.420	231.645	0.018	399.055	401.304	400.219	57.496	36.249	40.193	37.080	29654.168	-999.255	29670.998	50.123	0.108
20.10.2022	08:14:24.574	230.110	231.435	232.016	0.018	398.816	401.780	400.620	57.643	35.306	41.843	37.192	28988.387	-858.399	29001.094	50.128	-0.159
20.10.2022	08:14:24.584	229.952	230.725	231.501	0.018	398.126	400.453	400.237	57.754	34.556	40.408	37.381	28746.902	-736.322	28756.330	50.123	0.246
20.10.2022	08:14:24.594	230.320	231.291	231.712	0.018	399.078	401.119	400.606	59.065	35.122	39.884	38.465	29635.582	-983.580	29651.900	50.123	0.002
20.10.2022	08:14:24.604	230.081	231.303	231.870	0.018	398.721	401.469	400.491	57.749	35.137	40.719	37.526	28509.217	-784.146	28519.998	50.121	-0.228
20.10.2022	08:14:24.614	230.042	231.004	231.586	0.018	398.514	400.812	400.278	57.406	35.584	39.825	37.334	29190.688	-889.679	29204.242	50.116	-0.057
20.10.2022	08:14:24.624	230.358	231.264	231.942	0.018	398.960	401.338	400.921	58.676	35.084	40.285	38.251	29153.773	-821.079	29165.334	50.119	-0.345
20.10.2022	08:14:24.634	230.171	231.069	231.758	0.019	398.631	401.018	400.589	57.678	35.217	40.175	37.236	28781.074	-797.536	28792.121	50.114	-0.135
20.10.2022	08:14:24.644	230.398	231.613	231.898	0.019	399.439	401.671	400.706	57.577	36.380	40.436	37.202	29615.807	-880.435	29628.891	50.113	-0.126
20.10.2022	08:14:24.654	230.425	231.681	232.319	0.019	399.285	402.239	401.189	57.606	35.247	41.975	37.503	28994.242	-795.723	29005.160	50.117	-0.286
20.10.2022	08:14:24.664	230.284	230.974	231.802	0.019	398.622	400.901	400.823	57.689	34.590	40.442	37.609	28729.494	-656.507	28736.992	50.111	0.174
20.10.2022	08:14:24.674	230.646	231.507	231.990	0.019	399.545	401.503	401.173	58.939	35.173	39.844	38.571	29614.160	-905.881	29628.012	50.111	-0.109
20.10.2022	08:14:24.684	230.424	231.553	232.179	0.019	399.232	401.916	401.095	57.704	35.181	40.769	37.635	28574.551	-716.304	28583.527	50.109	-0.290
20.10.2022	08:14:24.694	230.411	231.316	231.948	0.018	399.093	401.376	400.941	57.518	35.633	39.908	37.602	29241.887	-833.358	29253.760	50.102	-0.107
20.10.2022	08:14:24.704	230.737	231.579	232.313	0.018	399.544	401.912	401.609	58.800	35.083	40.371	38.563	29218.898	-791.554	29229.617	50.104	-0.477
20.10.2022	08:14:24.714	230.548	231.378	232.112	0.018	399.217	401.564	401.258	57.916	35.144	40.204	37.639	28852.488	-739.729	28861.971	50.100	-0.214
20.10.2022	08:14:24.724	230.755	231.949	232.245	0.018	400.040	402.256	401.324	57.798	36.447	40.956	37.325	29964.512	-908.791	29978.289	50.099	-0.110
20.10.2022	08:14:24.734	230.759	232.037	232.661	0.018	399.879	402.867	401.752	57.656	35.468	43.184	37.023	29417.379	-889.174	29430.814	50.104	-0.271
20.10.2022	08:14:24.744	230.603	231.330	232.145	0.018	399.202	401.540	401.365	57.971	34.845	41.703	37.143	29243.184	-682.055	29251.137	50.099	0.200
20.10.2022	08:14:24.754	230.943	231.864	232.335	0.019	400.100	402.155	401.698	59.374	35.435	41.039	38.134	30085.652	-1026.501	30103.158	50.101	-0.010
20.10.2022	08:14:24.764	230.688	231.890	232.481	0.019	399.746	402.518	401.546	58.068	35.449	41.886	37.101	29044.555	-783.314	29055.115	50.100	-0.132
20.10.2022	08:14:24.774	230.618	231.579	232.162	0.018	399.506	401.823	401.265	57.773	35.881	40.986	36.870	29654.270	-943.454	29669.273	50.096	0.070
20.10.2022	08:14:24.784	230.903	231.813	232.490	0.018	399.896	402.307	401.859	59.034	35.279	41.552	37.822	29691.355	-897.350	29704.912	50.100	-0.260
20.10.2022	08:14:24.794	230.689	231.597	232.259	0.018	399.537	401.929	401.452	57.947	35.459	41.447	36.784	29221.398	-974.123	29237.631	50.097	-0.021
20.10.2022	08:14:24.804	230.858	232.129	232.356	0.018	400.293	402.551	401.458	57.828	36.769	41.698	36.723	30218.230	-1015.992	30235.305	50.099	0.048
20.10.2022	08:14:24.814	230.814	232.166	232.724	0.017	400.051	403.063	401.813	57.746	35.522	43.158	36.884	29296.508	-982.490	29312.979	50.106	-0.030
20.10.2022	08:14:24.824	230.592	231.387	232.123	0.018	399.260	401.592	401.299	57.654	34.629	41.470	37.020	29025.086	-702.144	29033.576	50.104	0.482
20.10.2022	08:14:24.834	230.874	231.864	232.239	0.018	400.069	402.088	401.510	58.828	35.082	40.617	38.142	29666.121	-1025.572	29683.842	50.109	0.249
20.10.2022	08:14:24.844	230.550	231.815	232.323	0.018	399.585	402.330	401.250	57.442	34.924	41.333	37.001	28640.359	-905.357	28654.664	50.111	0.135
20.10.2022	08:14:24.854	230.425	231.450	231.971	0.018	399.237	401.571	400.897	57.151	35.357	40.602	36.558	29335.869	-1036.648	29354.180	50.108	0.316
20.10.2022	08:14:24.864	230.663	231.641	232.253	0.019	399.552	401.980	401.407	58.500	34.852	41.204	37.491	29390.742	-984.167	29407.215	50.114	-0.036
20.10.2022	08:14:24.874	230.397	231.361	231.971	0.019	399.093	401.495	400.916	57.455	34.983	41.124	36.413	28927.330	-1050.178	28946.385	50.112	0.196
20.10.2022	08:14:24.884	230.559	231.858	232.052	0.019	399.810	402.061	400.916	57.300	36.234	41.291	36.302	29814.793	-1041.116	29832.965	50.114	0.196
20.10.2022	08:14:24.894	230.530	231.905	232.427	0.019	399.589	402.588	401.290	57.208	35.155	42.972	36.468	29156.141	-1030.361	29174.340	50.121	-0.023
20.10.2022	08:14:24.904	230.311	231.133	231.851	0.019	398.797	401.151	400.803	57.206	34.321	41.248	36.622	28694.332	-767.826	28704.604	50.118	0.431
20.10.2022	08:14:24.914	230.589	231.605	231.972	0.019	399.595	401.646	401.021	58.576	34.753	40.288	37.858	29567.572	-1031.453	29585.557	50.123	0.223
20.10.2022	08:14:24.924	230.275	231.561	232.069	0.018	399.121	401.902	400.786	57.370	34.696	41.245	36.891	28521.098	-905.513	28535.469	50.123	0.086
20.10.2022	08:14:24.934	230.153	231.156	231.703	0.018	398.740	401.079	400.442	56.981	35.074	40.518	36.473	29172.281	-1033.797	29190.594	50.120	0.252
20.10.2022	08:14:24.944	230.388	231.292	231.951	0.018	399.011	401.384	400.937	58.341	34.663	41.072	37.338	29313.824	-922.780	29328.344	50.124	-0.143
20.10.2022	08:14:24.954	230.151	231.044	231.717	0.019	398.595	400.973	400.521	57.602	35.049	40.993	36.437	29005.201	-1040.920	29023.873	50.119	0.032
20.10.2022	08:14:24.964	230.339	231.561	231.825	0.019	399.347	401.580	400.572	57.495	36.298	41.276	36.348	29818.641	-1043.423	29836.891	50.118	-0.092
20.10.2022	08:14:24.974	230.328	231.597	232.199	0.018	399.139	402.079	400.971	57.416	35.286	42.916	36.499	29269.941	-978.324	29286.287	50.123	-0.077
20.10.2022	08:14:24.984	230.159	230.894	231.680	0.018	398.448	400.761	400.569	57.451	34.555	41.365	36.655	28845.641	-760.351	28855.660	50.117	-0.041
20.10.2022	08:14:24.994	230.508	231.447	231.861	0.018	399.379	401.388	400.889	58.675	34.966	40.810	37.648	29800.633	-1081.649	29820.256	50.118	-0.249
20.10.2022	08:14:25.004	230.260	231.458	232.000	0.018	399.021	401.723	400.742	57.410	34.932	41.650	36.741	28616.734	-838.323	28629.012	50.116	-0.032
20.10.2022	08:14:25.014	230.176	231.090	231.680	0.018	398.700	400.970	400.477	57.029	35.264	40.670	36.483	29246.379	-963.007	29262.229	50.112	-0.277
20.10.2022	08:14:25.024	230.422	231.264	231.916	0.018	399.011	401.329	400.944	58.235	34.731	42.758	36.856	30011.156	-1058.527	30029.818	50.115	-0.080
20.10.2022	08:14:25.034	230.197	231.055	231.698	0.018	398.642	400.983	400.530	57.258	34.989	43.166	35.793	29122.398	-911.539	29136.662	50.109	-0.145
20.10.2022	08:14:25.044	230.424	231.590	231.885	0.018	399.438	401.644	400.716	57.248	36.202	41.445	36.674	29535.582	-897.828	29549.225	50.107	-0.390
20.10.2022	08:14:25.054	230.446	231.611	232.274	0.018	399.248	402.106	401.194	57.293	35.060	42.240	37.263	28999.148	-920.235	29013.746	50.110	0.038
20.10.2022	08:14:25.064	230.255	230.867	231.664	0.018	398.518	400.671	400.682	57.317	34.361	42.011	36.741	29289.762	-667.759	29297.371	50.104	0.038
20.10.2022	08:14:25.074	230.601	231.423	231.922	0.018	399.422	401.400	401.060	58.538	34.988	41.445	37.208	29583.063	-1385.052	29615.469	50.104	-0.174
20.10.2022	08:14:25.084	230.368	231.431	232.130	0.018	399.061	401.775	401.016	57.223	34.744	40.765	37.000	28129.891	-522.431	28134.742	50.100	-0.313
20.10.2022	08:14:25.094	230.304	231.108	231.760	0.018	398.830	400.996	400.714	56.757	35.005	39.856	37.179	29017.424	-932.093	29032.391	50.093	-0.178
20.10.2022	08:14:25.104	230.579	231.335	232.030	0.019	399.216	401.436	401.224	58.042	34.691	42.058	37.360	29767.332	-836.750	29779.090	50.095	-0.523
20.10.2022	08:14:25.114	230.362	231.110	231.814	0.019	398.838	401.065	400.834	57.439	34.964	42.305	36.431	29065.863	-757.819	29075.740	50.089	-0.238
20.10.2022	08:14:25.124	230.609	231.719	232.052	0.019	399.715	401.863	401.055	57.588	36.416	41.125	37.143	29743.762	-727.129	29752.648	50.087	-0.206
20.10.2022	08:14:25.134	230.640	231.814	232.483	0.019	399.588	402.469	401.543	57.701	35.533	42.834	37.336	29513.496	-992.865	29530.191	50.090	-0.417
20.10.2022	08:14:25.144	230.472	231.103	231.897	0.018	398.910	401.084	401.063	57.930	34.917	42.630	36.943	29631.637	-589.727	29637.504	50.085	0.043
20.10.2022	08:14:25.154	230.824	231.698	232.134	0.018	399.864	401.821	401.426	59.274	35.490	42.144	38.178	30179.598	-907.170	30193.229	50.087	-0.107
20.10.2022	08:14:25.164	230.601	231.763	232.362	0.018	399.568	402.278	401.386	57.967	35.389	41.600	37.738	28642.094	-584.742	28648.063	50.087	-0.130
20.10.2022	08:14:25.174	230.545	231.451	232.041	0.018	399.348	401.570	401.122	57.482	35.761	40.433	37.171	29554.438	-956.706	29569.918	50.084	0.103
20.10.2022	08:14:25.184	230.801	231.653	232.296	0.018	399.688	401.979	401.607	58.521	35.185	42.328	37.378	29869.188	-672.073	29876.748	50.090	-0.182
20.10.2022	08:14:25.194	230.593	231.456	232.084	0.018	399.347	401.641	401.216	57.508	35.310	42.351	36.439	29181.920	-873.635	29194.994	50.088	0.160
20.10.2022	08:14:25.204	230.821	232.047	232.305	0.018	400.188	402.414	401.405	57.450	36.538	41.055	37.116	29579.004	-684.698	29586.928	50.089	0.194
20.10.2022	08:14:25.214	230.811	232.114	232.696	0.018	400.005	402.965	401.815	57.312	35.453	42.606	37.263	29349.943	-1041.847	29368.430	50.096	-0.066
20.10.2022	08:14:25.224	230.631	231.389	232.124	0.018	399.310	401.566	401.348	57.474	34.782	41.191	37.318	28772.664	-569.276	28778.295	50.095	0.434
20.10.2022	08:14:25.234	230.936	231.889	232.278	0.018	400.150	402.119	401.615	58.884	35.313	40.287	38.357	29883.395	-1122.434	29904.467	50.101	0.314
20.10.2022	08:14:25.244	230.634	231.878	232.389	0.018	399.720	402.424	401.391	57.503	35.262	41.045	37.171	28466.771	-669.552	28474.645	50.104	0.219
20.10.2022	08:14:25.254	230.521	231.525	232.040	0.018	399.402	401.674	401.046	57.014	35.604	40.017	36.775	29265.957	-964.068	29281.832	50.103	0.460
20.10.2022	08:14:25.264	230.748	231.687	232.318	0.018	399.677	402.051	401.552	58.086	35.001	40.443	37.629	28949.605	-712.746	28958.379	50.111	0.129
20.10.2022	08:14:25.274	230.495	231.423	232.048	0.018	399.241	401.586	401.086	57.078	35.156	40.112	36.802	28742.402	-939.011	28757.736	50.110	0.323
20.10.2022	08:14:25.284	230.645	231.932	232.118	0.018	399.964	402.159	401.056	57.014	36.419	40.357	36.771	29454.379	-892.109	29467.887	50.113	0.355
20.10.2022	08:14:25.294	230.592	231.960	232.483	0.018	399.704	402.661	401.403	57.063	35.336	42.015	37.055	29028.063	-988.787	29044.898	50.122	0.144
20.10.2022	08:14:25.304	230.381	231.187	231.901	0.018	398.924	401.210	400.918	57.248	34.655	40.455	37.213	28585.563	-696.907	28594.057	50.120	0.586
20.10.2022	08:14:25.314	230.650	231.631	232.006	0.018	399.687	401.664	401.120	58.618	35.211	39.788	38.294	29650.449	-1017.221	29667.893	50.125	0.335
20.10.2022	08:14:25.324	230.326	231.571	232.081	0.018	399.194	401.886	400.856	57.475	35.173	40.772	37.141	28520.566	-819.537	28532.338	50.127	0.156
20.10.2022	08:14:25.334	230.202	231.179	231.704	0.018	398.829	401.068	400.491	57.089	35.559	40.050	36.661	29258.842	-969.334	29274.893	50.124	0.341
20.10.2022	08:14:25.344	230.429	231.333	231.975	0.018	399.098	401.427	400.994	58.349	35.017	40.516	37.604	29123.773	-786.440	29134.389	50.128	-0.071
