Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 03.11.2022	09:26:23.000 - 03.11.2022	16:11:22.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
03.11.2022	10:55:26.141	231.613	231.333	232.288	0.014	400.958	401.231	401.933	33.005	24.188	39.643	32.946	-15543.230	7303.365	17173.561	49.984	-0.227
03.11.2022	10:55:26.151	231.436	231.117	232.339	0.014	400.479	401.153	401.897	34.004	23.638	38.795	31.967	-18008.617	7557.529	19530.145	49.987	-0.113
03.11.2022	10:55:26.161	231.345	230.866	231.997	0.014	400.276	400.522	401.548	34.758	24.941	40.272	32.264	-17435.381	7145.351	18842.732	49.987	0.308
03.11.2022	10:55:26.171	231.489	230.937	232.064	0.014	400.483	400.594	401.756	33.586	24.268	39.490	31.901	-16325.019	8123.432	18234.482	49.991	0.109
03.11.2022	10:55:26.181	231.173	230.675	231.799	0.014	399.987	400.169	401.216	34.782	24.250	39.687	31.841	-18142.932	7531.475	19644.061	49.989	0.186
03.11.2022	10:55:26.191	231.131	230.866	231.885	0.014	400.111	400.510	401.160	34.371	25.012	40.048	33.180	-16362.313	7298.207	17916.170	49.989	0.140
03.11.2022	10:55:26.201	231.119	230.624	231.934	0.014	399.777	400.298	401.350	34.153	24.931	39.357	31.876	-17628.613	8650.942	19636.873	49.992	-0.086
03.11.2022	10:55:26.211	230.924	230.340	231.477	0.014	399.490	399.546	400.768	35.035	25.542	40.794	31.804	-18109.047	7145.217	19467.709	49.988	0.159
03.11.2022	10:55:26.221	231.101	230.872	231.840	0.014	400.100	400.472	401.087	33.503	24.619	39.843	33.071	-15505.939	7405.263	17183.482	49.991	-0.057
03.11.2022	10:55:26.231	230.985	230.686	231.958	0.014	399.675	400.480	401.186	34.028	24.238	39.028	32.031	-17945.697	7675.713	19518.314	49.993	-0.072
03.11.2022	10:55:26.241	230.928	230.473	231.645	0.014	399.537	399.898	400.899	34.331	25.515	40.634	31.912	-17327.861	7230.572	18775.939	49.992	0.257
03.11.2022	10:55:26.251	231.092	230.597	231.740	0.014	399.824	400.039	401.133	33.455	24.762	39.933	31.902	-16389.053	8366.153	18400.912	49.997	0.058
03.11.2022	10:55:26.261	230.823	230.373	231.484	0.014	399.414	399.643	400.641	35.020	24.644	39.995	32.136	-18072.246	7711.454	19648.730	49.996	0.172
03.11.2022	10:55:26.271	230.836	230.586	231.609	0.014	399.595	400.029	400.681	34.108	25.290	40.115	33.014	-15944.769	7651.085	17685.439	49.997	0.200
03.11.2022	10:55:26.281	230.912	230.458	231.803	0.014	399.422	400.066	401.064	33.349	24.901	39.034	31.881	-16966.898	8440.205	18950.270	50.000	0.004
03.11.2022	10:55:26.291	230.819	230.299	231.496	0.014	399.316	399.574	400.694	34.375	25.640	40.517	32.467	-17895.695	7228.127	19300.303	49.995	0.167
03.11.2022	10:55:26.301	231.042	230.841	231.856	0.014	399.984	400.484	401.065	33.222	25.207	40.230	33.556	-15480.689	7983.151	17417.877	50.000	-0.072
03.11.2022	10:55:26.311	230.943	230.676	231.949	0.014	399.627	400.466	401.144	34.177	24.715	39.528	32.277	-17817.998	8337.953	19672.381	50.003	0.002
03.11.2022	10:55:26.321	230.945	230.540	231.707	0.014	399.613	400.015	400.957	34.695	25.643	40.727	32.656	-16963.951	7638.127	18604.209	50.002	0.394
03.11.2022	10:55:26.331	231.217	230.734	231.909	0.014	400.026	400.321	401.397	33.507	25.003	39.792	32.461	-16002.377	8865.711	18294.176	50.006	0.122
03.11.2022	10:55:26.341	231.041	230.591	231.776	0.014	399.742	400.124	401.093	34.743	25.171	39.820	32.058	-17809.984	8038.236	19539.928	50.004	0.137
03.11.2022	10:55:26.351	231.112	230.887	231.943	0.014	400.074	400.611	401.199	34.454	25.816	40.084	33.386	-16321.090	7690.992	18042.432	50.005	0.123
03.11.2022	10:55:26.361	231.197	230.746	232.054	0.014	399.943	400.521	401.516	34.441	25.452	39.375	32.262	-17248.170	9205.020	19550.748	50.008	-0.069
03.11.2022	10:55:26.371	231.086	230.523	231.683	0.013	399.775	399.897	401.086	35.397	26.052	40.772	32.333	-17923.805	8030.750	19640.664	50.004	0.189
03.11.2022	10:55:26.381	231.349	231.079	232.098	0.014	400.474	400.871	401.551	33.948	25.404	40.210	33.530	-15434.042	8463.206	17602.145	50.005	-0.043
03.11.2022	10:55:26.391	231.308	230.944	232.248	0.014	400.182	400.922	401.748	34.341	24.768	39.442	32.237	-17801.844	8379.320	19675.330	50.005	-0.168
03.11.2022	10:55:26.401	231.312	230.799	231.997	0.014	400.173	400.444	401.556	34.581	25.570	40.698	32.661	-16976.832	7768.516	18669.832	50.002	0.081
03.11.2022	10:55:26.411	231.532	230.962	232.017	0.014	400.575	400.520	401.771	33.894	24.820	40.436	31.984	-16185.338	10183.896	19122.682	50.003	-0.141
03.11.2022	10:55:26.421	231.310	230.776	231.805	0.014	400.227	400.208	401.356	35.462	24.867	40.541	31.479	-17966.828	8617.955	19926.768	49.999	-0.100
03.11.2022	10:55:26.431	231.391	231.099	232.166	0.014	400.517	400.956	401.647	34.768	25.430	39.873	33.511	-16085.965	7994.758	17963.141	49.997	-0.136
03.11.2022	10:55:26.441	231.531	231.025	232.399	0.014	400.455	401.069	402.116	34.184	24.928	38.612	32.478	-17093.285	8715.828	19187.133	49.997	-0.333
03.11.2022	10:55:26.451	231.499	230.899	232.118	0.014	400.426	400.614	401.837	34.670	25.385	39.881	32.550	-17756.500	6855.597	19033.982	49.991	-0.124
03.11.2022	10:55:26.461	231.769	231.506	232.596	0.015	401.179	401.699	402.349	32.933	24.595	39.477	34.233	-15408.688	6998.349	16923.490	49.993	-0.295
03.11.2022	10:55:26.471	231.643	231.303	232.633	0.014	400.783	401.592	402.346	33.985	24.183	38.695	33.112	-17716.697	8034.671	19453.465	49.994	-0.217
03.11.2022	10:55:26.481	231.582	231.087	232.271	0.015	400.650	400.953	402.010	34.541	25.187	40.034	32.649	-16936.139	7608.212	18566.574	49.992	0.176
03.11.2022	10:55:26.491	231.804	231.261	232.423	0.014	401.012	401.195	402.355	33.245	24.262	39.144	32.312	-16022.910	8190.132	17994.773	49.994	-0.033
03.11.2022	10:55:26.501	231.535	231.037	232.129	0.014	400.620	400.759	401.818	34.551	24.163	39.180	31.743	-17716.658	7906.123	19400.689	49.991	-0.014
03.11.2022	10:55:26.511	231.518	231.276	232.283	0.014	400.792	401.221	401.837	34.075	24.867	39.358	33.082	-15968.918	7326.215	17569.285	49.991	-0.030
03.11.2022	10:55:26.521	231.576	231.145	232.450	0.014	400.602	401.232	402.180	33.643	24.702	38.621	32.002	-17226.121	8485.340	19202.609	49.993	-0.168
03.11.2022	10:55:26.531	231.434	230.925	232.070	0.014	400.408	400.604	401.716	34.401	25.325	40.438	31.986	-18002.377	6849.326	19261.330	49.989	0.086
03.11.2022	10:55:26.541	231.627	231.473	232.453	0.014	401.048	401.563	402.064	33.149	24.578	39.813	33.465	-15490.641	7316.564	17131.609	49.993	-0.103
