Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 10.08.2022	08:21:31.000 - 10.08.2022	17:23:49.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
10.08.2022	13:49:46.658	231.259	231.151	231.666	0.007	400.269	400.731	401.100	12.865	16.203	12.236	16.293	5177.788	-4828.555	7079.861	50.680	0.135
10.08.2022	13:49:46.668	231.070	230.899	231.230	0.007	400.005	400.053	400.523	12.403	15.986	11.931	15.820	4795.220	-4867.878	6833.035	50.686	0.188
10.08.2022	13:49:46.678	231.252	231.497	231.629	0.007	400.678	401.097	400.849	12.639	17.089	12.109	16.810	5742.158	-4926.752	7566.060	50.685	0.243
10.08.2022	13:49:46.688	231.202	231.359	231.855	0.007	400.318	401.242	401.131	12.397	16.235	13.406	16.663	5127.576	-4562.483	6863.548	50.685	-0.038
10.08.2022	13:49:46.698	231.075	231.031	231.377	0.007	400.074	400.366	400.633	12.545	15.903	11.957	15.556	5064.222	-4872.454	7027.599	50.694	0.439
10.08.2022	13:49:46.708	231.331	231.245	231.523	0.007	400.532	400.622	400.987	13.413	16.179	11.926	15.963	5869.404	-4810.082	7588.597	50.693	0.410
10.08.2022	13:49:46.718	231.084	231.083	231.442	0.007	400.104	400.500	400.687	12.771	16.140	12.495	15.858	4959.350	-4846.675	6934.364	50.694	0.046
10.08.2022	13:49:46.728	231.055	231.278	231.513	0.007	400.266	400.824	400.611	12.664	16.710	11.920	16.198	5459.695	-5044.721	7433.538	50.698	0.244
10.08.2022	13:49:46.738	231.238	231.188	231.698	0.007	400.256	400.830	401.097	13.054	15.992	12.635	16.258	5355.852	-4790.421	7185.630	50.695	0.050
10.08.2022	13:49:46.748	231.064	230.941	231.294	0.007	400.004	400.175	400.577	12.699	16.139	11.930	15.627	5043.707	-4934.787	7056.281	50.701	0.144
10.08.2022	13:49:46.758	231.244	231.524	231.669	0.007	400.673	401.172	400.882	12.888	17.120	11.951	16.639	5572.392	-5036.881	7511.439	50.700	0.204
10.08.2022	13:49:46.768	231.183	231.370	231.887	0.007	400.290	401.296	401.145	12.519	15.956	13.198	16.630	4779.650	-4881.599	6831.915	50.699	-0.052
10.08.2022	13:49:46.778	231.039	231.015	231.371	0.007	400.015	400.362	400.595	12.574	15.562	12.147	15.533	5189.582	-4905.843	7141.362	50.708	0.429
10.08.2022	13:49:46.788	231.280	231.218	231.475	0.007	400.465	400.566	400.888	13.419	16.158	12.222	15.858	5997.529	-4867.718	7724.314	50.706	0.307
10.08.2022	13:49:46.798	231.022	231.040	231.399	0.007	400.011	400.438	400.584	12.710	16.334	12.718	15.814	5108.785	-4867.730	7056.521	50.705	-0.126
10.08.2022	13:49:46.808	230.996	231.207	231.463	0.007	400.149	400.719	400.522	12.573	16.841	11.919	16.023	5407.817	-5089.631	7426.226	50.708	0.100
10.08.2022	13:49:46.818	231.204	231.151	231.667	0.007	400.195	400.775	401.036	12.919	16.068	12.776	16.356	5289.940	-4919.385	7223.836	50.704	-0.095
10.08.2022	13:49:46.828	231.023	230.886	231.244	0.007	399.927	400.084	400.491	12.517	16.108	12.279	15.747	5065.838	-4961.935	7091.086	50.707	-0.041
10.08.2022	13:49:46.838	231.191	231.441	231.598	0.007	400.563	401.027	400.778	12.752	17.157	12.141	16.505	5718.351	-4996.145	7593.484	50.705	0.065
10.08.2022	13:49:46.848	231.149	231.310	231.839	0.007	400.212	401.196	401.078	12.457	16.223	13.496	16.710	5000.257	-4942.143	7030.458	50.703	-0.167
10.08.2022	13:49:46.858	231.037	230.968	231.325	0.007	399.987	400.264	400.557	12.503	15.795	12.257	15.763	4961.053	-4911.748	6981.211	50.710	0.248
10.08.2022	13:49:46.868	231.273	231.166	231.382	0.007	400.446	400.408	400.804	13.255	16.092	11.963	15.854	5858.624	-4691.625	7505.652	50.706	0.132
10.08.2022	13:49:46.878	230.994	230.979	231.313	0.007	399.949	400.284	400.498	12.566	16.214	12.567	15.616	5270.883	-4748.835	7094.621	50.705	-0.239
10.08.2022	13:49:46.888	230.977	231.177	231.429	0.007	400.105	400.646	400.494	12.648	16.938	11.751	15.831	5525.852	-4992.986	7447.479	50.706	-0.005
10.08.2022	13:49:46.898	231.188	231.117	231.644	0.007	400.151	400.704	401.026	13.122	16.092	12.239	16.016	5208.956	-4804.322	7086.235	50.700	-0.233
10.08.2022	13:49:46.908	231.005	230.835	231.206	0.007	399.868	399.986	400.463	12.548	15.982	12.080	15.609	5079.866	-5007.693	7133.164	50.703	-0.147
10.08.2022	13:49:46.918	231.183	231.425	231.569	0.007	400.542	400.980	400.754	12.854	17.171	12.287	16.506	5952.799	-4926.132	7726.745	50.701	0.043
10.08.2022	13:49:46.928	231.130	231.293	231.806	0.007	400.182	401.149	401.036	12.584	16.289	13.582	16.551	5185.659	-4857.326	7105.257	50.700	-0.164
10.08.2022	13:49:46.938	231.023	230.964	231.329	0.007	399.967	400.268	400.549	12.546	15.879	12.267	15.642	5060.956	-4825.557	6992.801	50.706	0.242
10.08.2022	13:49:46.948	231.302	231.218	231.477	0.007	400.499	400.557	400.908	13.301	16.246	11.887	15.961	5723.017	-4898.051	7532.850	50.702	0.132
10.08.2022	13:49:46.958	231.015	231.020	231.361	0.007	399.999	400.371	400.552	12.531	16.383	12.664	15.811	5365.935	-4727.653	7151.500	50.703	-0.179
10.08.2022	13:49:46.968	230.967	231.165	231.410	0.007	400.093	400.618	400.465	12.611	16.955	11.903	15.906	5487.657	-5067.370	7469.445	50.705	0.145
10.08.2022	13:49:46.978	231.187	231.105	231.638	0.007	400.146	400.690	401.011	13.037	16.070	12.401	16.167	5107.181	-4874.447	7059.995	50.701	-0.085
10.08.2022	13:49:46.988	231.010	230.822	231.181	0.007	399.881	399.939	400.438	12.428	16.129	11.941	15.722	4930.290	-4975.506	7004.528	50.704	-0.077
10.08.2022	13:49:46.998	231.175	231.376	231.498	0.007	400.522	400.847	400.684	12.691	17.246	12.212	16.583	5899.598	-4980.143	7720.562	50.702	0.036
10.08.2022	13:49:47.008	231.137	231.254	231.760	0.007	400.176	401.050	401.005	12.423	16.273	13.590	16.655	5092.224	-4792.625	6992.854	50.699	-0.225
10.08.2022	13:49:47.018	231.054	230.941	231.312	0.007	399.989	400.203	400.576	12.556	15.920	12.134	15.671	5081.840	-4862.539	7033.448	50.704	0.136
10.08.2022	13:49:47.028	231.346	231.190	231.458	0.007	400.530	400.475	400.953	13.357	16.299	11.644	16.052	5524.654	-4894.776	7381.100	50.699	0.003
10.08.2022	13:49:47.038	231.087	231.022	231.363	0.007	400.087	400.339	400.627	12.527	16.380	12.442	16.001	5208.951	-4768.870	7062.244	50.698	-0.308
10.08.2022	13:49:47.048	231.054	231.229	231.453	0.007	400.247	400.694	400.571	12.458	16.909	11.840	16.088	5315.349	-4982.524	7285.498	50.699	-0.004
10.08.2022	13:49:47.058	231.274	231.186	231.704	0.007	400.297	400.809	401.147	13.064	16.073	12.351	16.253	5257.339	-4863.297	7161.792	50.694	-0.200
10.08.2022	13:49:47.068	231.108	230.914	231.278	0.007	400.042	400.105	400.609	12.562	16.353	12.064	15.924	5017.205	-4945.840	7045.118	50.697	-0.121
10.08.2022	13:49:47.078	231.287	231.501	231.651	0.007	400.722	401.105	400.901	12.743	17.656	12.254	16.891	5978.195	-4987.640	7785.587	50.695	0.025
10.08.2022	13:49:47.088	231.227	231.374	231.903	0.008	400.347	401.298	401.197	12.530	16.624	13.585	16.831	5109.914	-4958.961	7120.570	50.694	-0.159
10.08.2022	13:49:47.098	231.084	230.982	231.351	0.007	400.048	400.275	400.636	12.653	15.998	12.143	15.594	5090.354	-4945.835	7097.393	50.702	0.343
10.08.2022	13:49:47.108	231.342	231.175	231.447	0.007	400.516	400.446	400.944	13.467	16.443	11.569	16.009	5514.038	-4987.744	7435.200	50.699	0.288
10.08.2022	13:49:47.118	231.070	230.981	231.326	0.007	400.049	400.263	400.576	12.531	16.559	12.543	16.241	5202.144	-4777.519	7063.072	50.699	-0.132
10.08.2022	13:49:47.128	231.008	231.135	231.352	0.007	400.148	400.501	400.444	12.396	17.220	11.985	16.185	5557.591	-5010.806	7482.980	50.699	-0.003
10.08.2022	13:49:47.138	231.217	231.104	231.620	0.007	400.190	400.651	401.027	12.904	16.310	12.233	16.198	5020.980	-4814.601	6956.337	50.694	-0.232
10.08.2022	13:49:47.148	231.054	230.840	231.211	0.007	399.941	399.967	400.509	12.371	16.110	11.855	15.788	4784.823	-5017.705	6933.390	50.696	-0.168
10.08.2022	13:49:47.158	231.232	231.413	231.563	0.007	400.616	400.927	400.786	12.601	17.555	11.976	16.832	5833.432	-4918.990	7630.557	50.693	-0.046
10.08.2022	13:49:47.168	231.167	231.273	231.805	0.007	400.226	401.095	401.071	12.352	16.634	13.186	16.746	4920.784	-4906.409	6948.882	50.692	-0.208
10.08.2022	13:49:47.178	231.049	230.927	231.307	0.007	399.976	400.176	400.573	12.514	15.919	11.908	15.674	4860.638	-4980.584	6959.312	50.699	0.262
10.08.2022	13:49:47.188	231.315	231.144	231.410	0.007	400.474	400.385	400.881	13.225	16.258	11.689	16.033	5523.869	-4923.355	7399.497	50.695	0.163
10.08.2022	13:49:47.198	231.018	230.907	231.253	0.007	399.948	400.118	400.479	12.410	16.402	12.435	15.824	5267.751	-4729.208	7079.168	50.694	-0.219
10.08.2022	13:49:47.208	230.963	231.058	231.299	0.007	400.038	400.369	400.383	12.513	17.352	11.789	15.898	5775.582	-4944.093	7602.723	50.695	0.012
10.08.2022	13:49:47.218	231.184	231.037	231.571	0.007	400.107	400.533	400.968	13.021	16.625	12.362	16.091	5381.865	-4781.269	7198.958	50.690	-0.237
10.08.2022	13:49:47.228	231.027	230.815	231.174	0.007	399.902	399.912	400.450	12.501	16.644	12.051	15.919	5060.568	-5026.659	7132.787	50.691	-0.245
10.08.2022	13:49:47.238	231.206	231.403	231.554	0.007	400.572	400.921	400.759	12.693	17.719	12.032	16.903	5767.719	-4909.867	7574.521	50.688	-0.063
10.08.2022	13:49:47.248	231.145	231.279	231.811	0.007	400.197	401.120	401.060	12.361	16.424	13.339	16.675	4978.313	-4947.537	7018.669	50.688	-0.131
10.08.2022	13:49:47.258	231.038	230.959	231.343	0.007	399.978	400.260	400.587	12.585	15.945	12.051	15.732	4950.033	-4931.243	6987.130	50.695	0.356
10.08.2022	13:49:47.268	231.315	231.166	231.453	0.007	400.474	400.461	400.920	13.495	16.265	11.763	16.174	5546.914	-5061.103	7508.862	50.693	0.242
10.08.2022	13:49:47.278	231.036	230.953	231.306	0.007	399.985	400.224	400.539	12.649	16.343	12.536	15.970	5258.507	-4717.929	7064.754	50.694	-0.073
10.08.2022	13:49:47.288	230.977	231.103	231.359	0.007	400.070	400.476	400.451	12.679	17.237	11.792	15.764	5864.041	-4987.379	7698.112	50.697	0.204
10.08.2022	13:49:47.298	231.198	231.057	231.618	0.007	400.116	400.590	401.043	13.324	16.531	12.217	15.966	5355.344	-4828.826	7210.914	50.692	-0.097
10.08.2022	13:49:47.308	231.048	230.815	231.206	0.007	399.902	399.926	400.526	12.763	16.424	11.812	15.745	5090.367	-4984.451	7124.366	50.694	-0.159
10.08.2022	13:49:47.318	231.248	231.444	231.597	0.007	400.638	400.992	400.840	12.755	17.586	12.051	16.879	5768.437	-4883.064	7557.723	50.691	-0.054
10.08.2022	13:49:47.328	231.208	231.355	231.875	0.007	400.318	401.250	401.160	12.456	16.552	13.453	16.857	5159.206	-4919.096	7128.458	50.690	-0.204
10.08.2022	13:49:47.338	231.070	230.991	231.372	0.007	400.035	400.310	400.641	12.589	16.099	12.157	15.680	5180.223	-4827.203	7080.720	50.697	0.323
10.08.2022	13:49:47.348	231.333	231.204	231.493	0.007	400.515	400.534	400.973	13.392	16.451	11.851	16.036	5732.885	-5001.391	7607.883	50.695	0.284
10.08.2022	13:49:47.358	231.073	231.017	231.368	0.007	400.067	400.348	400.614	12.594	16.387	12.668	16.140	5045.134	-4840.376	6991.611	50.695	-0.109
10.08.2022	13:49:47.368	231.013	231.136	231.344	0.007	400.154	400.493	400.444	12.551	17.184	11.967	16.220	5671.504	-4978.038	7546.312	50.697	0.105
10.08.2022	13:49:47.378	231.204	231.067	231.586	0.007	400.149	400.577	400.996	13.079	16.321	12.284	16.190	5144.447	-4757.048	7006.771	50.693	-0.098
10.08.2022	13:49:47.388	231.022	230.817	231.189	0.007	399.886	399.930	400.468	12.462	16.155	11.895	15.716	4920.903	-5075.035	7069.036	50.695	-0.110
10.08.2022	13:49:47.398	231.200	231.384	231.530	0.007	400.554	400.875	400.736	12.701	17.605	12.089	16.752	5929.098	-4889.658	7685.243	50.692	-0.062
10.08.2022	13:49:47.408	231.152	231.264	231.772	0.007	400.207	401.069	401.020	12.518	16.679	13.644	16.994	5233.819	-4929.218	7189.580	50.691	-0.221
