Messdaten Export PQ-Box 300		Seriennummer: 2008-208

Messung: 20220721_0737_002, 2022-06-30_Linda2.0_Netz, Bliensbach2107, , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 21.07.2022	07:37:47.000 - 21.07.2022	13:36:41.000

Datum	Zeit	'P_L1_[W]'	'P_L1_[W]'_abs	'P_L2_[W]'	'P_L2_[W]'_abs	'P_L3_[W]'	'P_L3_[W]'_abs	'P_total_[W]'	'P_total_[W]'_abs	'F_[Hz]'
21.07.2022	07:37:47.000	-61.858	61.858	-13.077	13.077	-20.664	20.664	-95.599	95.599	49.992
21.07.2022	07:37:48.000	-61.765	61.765	-13.471	13.471	-20.659	20.659	-95.895	95.895	49.991
21.07.2022	07:37:49.000	-61.917	61.917	-13.541	13.541	-20.860	20.860	-96.318	96.318	49.990
21.07.2022	07:37:50.000	-61.652	61.652	-13.524	13.524	-20.395	20.395	-95.572	95.572	49.987
21.07.2022	07:37:51.000	-61.692	61.692	-13.603	13.603	-20.435	20.435	-95.730	95.730	49.984
21.07.2022	07:37:52.000	-61.636	61.636	-13.727	13.727	-20.172	20.172	-95.536	95.536	49.981
21.07.2022	07:37:53.000	-62.131	62.131	-13.455	13.455	-20.377	20.377	-95.963	95.963	49.980
21.07.2022	07:37:54.000	-61.743	61.743	-13.430	13.430	-19.920	19.920	-95.093	95.093	49.981
21.07.2022	07:37:55.000	-62.308	62.308	-13.966	13.966	-19.767	19.767	-96.041	96.041	49.983
21.07.2022	07:37:56.000	-61.817	61.817	-13.547	13.547	-19.418	19.418	-94.782	94.782	49.983
21.07.2022	07:37:57.000	-61.895	61.895	-13.672	13.672	-20.266	20.266	-95.833	95.833	49.983
21.07.2022	07:37:58.000	-61.879	61.879	-13.853	13.853	-20.226	20.226	-95.958	95.958	49.982
21.07.2022	07:37:59.000	-61.792	61.792	-13.755	13.755	-20.098	20.098	-95.645	95.645	49.980
21.07.2022	07:38:00.000	-61.485	61.485	-13.773	13.773	-19.820	19.820	-95.078	95.078	49.979
21.07.2022	07:38:01.000	-62.203	62.203	-14.189	14.189	-18.512	18.512	-94.905	94.905	49.979
21.07.2022	07:38:02.000	-62.889	62.889	-14.336	14.336	-3.294	3.294	-80.519	80.519	49.979
21.07.2022	07:38:03.000	-63.024	63.024	-14.292	14.292	-2.789	2.789	-80.106	80.106	49.978
21.07.2022	07:38:04.000	-62.936	62.936	-14.473	14.473	-2.800	2.800	-80.209	80.209	49.978
21.07.2022	07:38:05.000	-62.801	62.801	-14.442	14.442	-3.125	3.125	-80.369	80.369	49.978
21.07.2022	07:38:06.000	-62.753	62.753	-14.405	14.405	-3.090	3.090	-80.249	80.249	49.977
21.07.2022	07:38:07.000	-63.021	63.021	-14.320	14.320	-2.698	2.698	-80.039	80.039	49.978
21.07.2022	07:38:08.000	-63.090	63.090	-14.083	14.083	-2.882	2.882	-80.055	80.055	49.980
21.07.2022	07:38:09.000	-63.124	63.124	-14.174	14.174	-2.827	2.827	-80.125	80.125	49.981
21.07.2022	07:38:10.000	-62.959	62.959	-14.327	14.327	-2.804	2.804	-80.090	80.090	49.981
21.07.2022	07:38:11.000	-62.900	62.900	-14.297	14.297	-2.895	2.895	-80.091	80.091	49.980
21.07.2022	07:38:12.000	-62.918	62.918	-14.085	14.085	-2.907	2.907	-79.910	79.910	49.981
21.07.2022	07:38:13.000	-62.819	62.819	-14.103	14.103	-2.718	2.718	-79.640	79.640	49.984
21.07.2022	07:38:14.000	-63.065	63.065	-14.311	14.311	-2.657	2.657	-80.033	80.033	49.987
21.07.2022	07:38:15.000	-62.827	62.827	-14.287	14.287	-2.540	2.540	-79.655	79.655	49.988
21.07.2022	07:38:16.000	-62.819	62.819	-14.427	14.427	-2.648	2.648	-79.894	79.894	49.990
21.07.2022	07:38:17.000	-63.011	63.011	-14.204	14.204	-2.633	2.633	-79.848	79.848	49.990
21.07.2022	07:38:18.000	-63.041	63.041	-14.192	14.192	-2.628	2.628	-79.861	79.861	49.992
21.07.2022	07:38:19.000	-62.712	62.712	-14.120	14.120	-2.906	2.906	-79.738	79.738	49.994
21.07.2022	07:38:20.000	-62.868	62.868	-14.359	14.359	-2.382	2.382	-79.609	79.609	49.995
21.07.2022	07:38:21.000	-62.951	62.951	-13.977	13.977	-2.187	2.187	-79.115	79.115	49.996
21.07.2022	07:38:22.000	-63.095	63.095	-14.214	14.214	-2.293	2.293	-79.603	79.603	49.998
21.07.2022	07:38:23.000	-62.709	62.709	-14.250	14.250	-2.764	2.764	-79.723	79.723	49.999
21.07.2022	07:38:24.000	-62.856	62.856	-14.466	14.466	-2.151	2.151	-79.472	79.472	50.001
21.07.2022	07:38:25.000	-62.789	62.789	-14.163	14.163	-2.460	2.460	-79.412	79.412	50.002
21.07.2022	07:38:26.000	-62.562	62.562	-14.394	14.394	-2.140	2.140	-79.097	79.097	50.002
21.07.2022	07:38:27.000	-62.861	62.861	-14.097	14.097	-2.294	2.294	-79.251	79.251	50.002
21.07.2022	07:38:28.000	-63.031	63.031	-14.224	14.224	-2.287	2.287	-79.541	79.541	50.002
21.07.2022	07:38:29.000	-62.933	62.933	-13.929	13.929	-2.180	2.180	-79.042	79.042	50.002
21.07.2022	07:38:30.000	-62.903	62.903	-14.407	14.407	-2.303	2.303	-79.614	79.614	50.002
21.07.2022	07:38:31.000	-62.831	62.831	-14.109	14.109	-2.094	2.094	-79.034	79.034	50.000
21.07.2022	07:38:32.000	-62.986	62.986	-14.250	14.250	-2.190	2.190	-79.427	79.427	50.001
21.07.2022	07:38:33.000	-62.915	62.915	-14.398	14.398	-1.899	1.899	-79.212	79.212	50.002
21.07.2022	07:38:34.000	-63.030	63.030	-14.389	14.389	-2.301	2.301	-79.719	79.719	50.003
21.07.2022	07:38:35.000	-62.865	62.865	-14.560	14.560	-2.179	2.179	-79.604	79.604	50.003
21.07.2022	07:38:36.000	-62.842	62.842	-14.243	14.243	-2.016	2.016	-79.102	79.102	50.004
21.07.2022	07:38:37.000	-62.801	62.801	-14.074	14.074	-1.898	1.898	-78.773	78.773	50.004
21.07.2022	07:38:38.000	-62.956	62.956	-14.376	14.376	-1.841	1.841	-79.173	79.173	50.004
21.07.2022	07:38:39.000	-62.874	62.874	-14.325	14.325	-1.888	1.888	-79.087	79.087	50.004
21.07.2022	07:38:40.000	-62.752	62.752	-14.322	14.322	-1.831	1.831	-78.904	78.904	50.004
21.07.2022	07:38:41.000	-62.917	62.917	-14.415	14.415	-1.951	1.951	-79.283	79.283	50.004
21.07.2022	07:38:42.000	-62.946	62.946	-14.487	14.487	-1.886	1.886	-79.319	79.319	50.004
21.07.2022	07:38:43.000	-62.974	62.974	-14.481	14.481	-1.937	1.937	-79.392	79.392	50.004
21.07.2022	07:38:44.000	-62.876	62.876	-14.522	14.522	-1.813	1.813	-79.212	79.212	50.004
21.07.2022	07:38:45.000	-62.942	62.942	-14.188	14.188	-1.494	1.494	-78.624	78.624	50.003
21.07.2022	07:38:46.000	-62.800	62.800	-14.469	14.469	-1.655	1.655	-78.925	78.925	50.003
21.07.2022	07:38:47.000	-62.716	62.716	-14.165	14.165	-1.766	1.766	-78.648	78.648	50.004
21.07.2022	07:38:48.000	-62.883	62.883	-14.069	14.069	-1.531	1.531	-78.483	78.483	50.005
21.07.2022	07:38:49.000	-63.206	63.206	-14.377	14.377	-1.709	1.709	-79.292	79.292	50.006
21.07.2022	07:38:50.000	-62.745	62.745	-14.340	14.340	-1.720	1.720	-78.805	78.805	50.009
21.07.2022	07:38:51.000	-62.715	62.715	-14.339	14.339	-1.507	1.507	-78.561	78.561	50.011
21.07.2022	07:38:52.000	-62.684	62.684	-14.345	14.345	-1.351	1.351	-78.381	78.381	50.014
21.07.2022	07:38:53.000	-62.718	62.718	-14.475	14.475	-1.511	1.511	-78.704	78.704	50.016
21.07.2022	07:38:54.000	-63.045	63.045	-14.252	14.252	-1.522	1.522	-78.820	78.820	50.017
21.07.2022	07:38:55.000	-62.897	62.897	-14.230	14.230	-1.318	1.318	-78.445	78.445	50.017
21.07.2022	07:38:56.000	-62.924	62.924	-14.207	14.207	-1.555	1.555	-78.686	78.686	50.018
21.07.2022	07:38:57.000	-62.476	62.476	-14.358	14.358	-1.582	1.582	-78.416	78.416	50.017
21.07.2022	07:38:58.000	-63.118	63.118	-14.340	14.340	-1.666	1.666	-79.124	79.124	50.016
21.07.2022	07:38:59.000	-63.048	63.048	-14.287	14.287	-1.000	1.000	-78.334	78.334	50.013
21.07.2022	07:39:00.000	-63.081	63.081	-14.331	14.331	-1.163	1.163	-78.574	78.574	50.012
21.07.2022	07:39:01.000	-63.116	63.116	-14.455	14.455	-1.086	1.086	-78.657	78.657	50.011
21.07.2022	07:39:02.000	-62.922	62.922	-14.277	14.277	-1.137	1.137	-78.335	78.335	50.011
21.07.2022	07:39:03.000	-62.947	62.947	-14.367	14.367	-1.120	1.120	-78.434	78.434	50.011
21.07.2022	07:39:04.000	-63.124	63.124	-14.187	14.187	-1.241	1.241	-78.551	78.551	50.011
21.07.2022	07:39:05.000	-63.056	63.056	-14.438	14.438	-1.170	1.170	-78.663	78.663	50.010
21.07.2022	07:39:06.000	-63.071	63.071	-14.313	14.313	-1.087	1.087	-78.471	78.471	50.008
21.07.2022	07:39:07.000	-63.109	63.109	-14.230	14.230	-0.892	0.892	-78.231	78.231	50.007
21.07.2022	07:39:08.000	-63.151	63.151	-14.534	14.534	-0.932	0.932	-78.617	78.617	50.007
21.07.2022	07:39:09.000	-63.082	63.082	-14.333	14.333	-1.066	1.066	-78.481	78.481	50.006
21.07.2022	07:39:10.000	-62.916	62.916	-14.248	14.248	-0.829	0.829	-77.993	77.993	50.005
21.07.2022	07:39:11.000	-63.005	63.005	-14.534	14.534	-1.100	1.100	-78.639	78.639	50.005
21.07.2022	07:39:12.000	-63.163	63.163	-14.315	14.315	-1.014	1.014	-78.492	78.492	50.004
21.07.2022	07:39:13.000	-63.104	63.104	-14.230	14.230	-0.783	0.783	-78.117	78.117	50.003
21.07.2022	07:39:14.000	-62.952	62.952	-14.252	14.252	-0.835	0.835	-78.039	78.039	50.004
21.07.2022	07:39:15.000	-62.937	62.937	-14.478	14.478	-0.942	0.942	-78.358	78.358	50.006
21.07.2022	07:39:16.000	-63.025	63.025	-14.353	14.353	-1.095	1.095	-78.472	78.472	50.007
21.07.2022	07:39:17.000	-62.774	62.774	-14.113	14.113	-0.840	0.840	-77.727	77.727	50.006
21.07.2022	07:39:18.000	-63.087	63.087	-14.242	14.242	-0.904	0.904	-78.233	78.233	50.005
21.07.2022	07:39:19.000	-62.904	62.904	-14.292	14.292	-0.954	0.954	-78.150	78.150	50.003
21.07.2022	07:39:20.000	-62.715	62.715	-14.213	14.213	-0.714	0.714	-77.642	77.642	50.003
21.07.2022	07:39:21.000	-62.885	62.885	-14.310	14.310	-0.682	0.682	-77.877	77.877	50.003
21.07.2022	07:39:22.000	-62.972	62.972	-14.270	14.270	-0.886	0.886	-78.128	78.128	50.003
21.07.2022	07:39:23.000	-63.067	63.067	-14.202	14.202	-0.737	0.737	-78.007	78.007	50.002
21.07.2022	07:39:24.000	-63.083	63.083	-14.147	14.147	-0.895	0.895	-78.125	78.125	50.001
21.07.2022	07:39:25.000	-63.015	63.015	-14.090	14.090	-0.502	0.502	-77.607	77.607	50.001
21.07.2022	07:39:26.000	-62.964	62.964	-14.404	14.404	-0.744	0.744	-78.112	78.112	50.002
21.07.2022	07:39:27.000	-62.964	62.964	-14.314	14.314	-1.095	1.095	-78.373	78.373	50.003
21.07.2022	07:39:28.000	-62.723	62.723	-14.111	14.111	-0.793	0.793	-77.627	77.627	50.002
21.07.2022	07:39:29.000	-62.715	62.715	-14.234	14.234	-0.308	0.308	-77.257	77.257	50.001
21.07.2022	07:39:30.000	-62.958	62.958	-14.178	14.178	-0.819	0.819	-77.956	77.956	50.000
21.07.2022	07:39:31.000	-62.829	62.829	-14.454	14.454	-0.453	0.453	-77.736	77.736	50.000
21.07.2022	07:39:32.000	-62.984	62.984	-14.258	14.258	-0.834	0.834	-78.076	78.076	50.001
21.07.2022	07:39:33.000	-62.655	62.655	-14.389	14.389	-0.439	0.439	-77.483	77.483	50.001
21.07.2022	07:39:34.000	-62.797	62.797	-14.150	14.150	-0.603	0.603	-77.550	77.550	50.000
21.07.2022	07:39:35.000	-62.927	62.927	-14.514	14.514	-0.270	0.270	-77.711	77.711	49.998
21.07.2022	07:39:36.000	-63.085	63.085	-14.407	14.407	-0.384	0.384	-77.876	77.876	49.996
21.07.2022	07:39:37.000	-62.861	62.861	-14.242	14.242	-0.383	0.383	-77.486	77.486	49.996
21.07.2022	07:39:38.000	-62.876	62.876	-14.296	14.296	-0.272	0.272	-77.443	77.443	49.996
21.07.2022	07:39:39.000	-63.074	63.074	-14.294	14.294	-0.345	0.345	-77.713	77.713	49.995
21.07.2022	07:39:40.000	-62.685	62.685	-14.221	14.221	-0.316	0.316	-77.222	77.222	49.993
21.07.2022	07:39:41.000	-62.801	62.801	-14.351	14.351	-0.461	0.461	-77.613	77.613	49.990
21.07.2022	07:39:42.000	-62.943	62.943	-14.450	14.450	-0.503	0.503	-77.895	77.895	49.988
21.07.2022	07:39:43.000	-62.852	62.852	-14.368	14.368	-0.416	0.416	-77.636	77.636	49.987
21.07.2022	07:39:44.000	-62.957	62.957	-14.425	14.425	-0.206	0.206	-77.587	77.587	49.987
21.07.2022	07:39:45.000	-62.765	62.765	-14.226	14.226	-0.311	0.311	-77.303	77.303	49.985
21.07.2022	07:39:46.000	-62.960	62.960	-14.467	14.467	-0.251	0.251	-77.678	77.678	49.984
21.07.2022	07:39:47.000	-62.942	62.942	-14.405	14.405	-0.230	0.230	-77.577	77.577	49.983
21.07.2022	07:39:48.000	-62.774	62.774	-14.700	14.700	-0.241	0.241	-77.715	77.715	49.985
21.07.2022	07:39:49.000	-62.615	62.615	-14.319	14.319	-0.475	0.475	-77.409	77.409	49.988
21.07.2022	07:39:50.000	-62.813	62.813	-14.531	14.531	-0.060	0.060	-77.403	77.403	49.990
21.07.2022	07:39:51.000	-62.792	62.792	-14.449	14.449	0.109	0.109	-77.132	77.132	49.991
21.07.2022	07:39:52.000	-63.023	63.023	-14.447	14.447	-0.110	0.110	-77.580	77.580	49.991
21.07.2022	07:39:53.000	-63.088	63.088	-14.410	14.410	-0.083	0.083	-77.581	77.581	49.993
21.07.2022	07:39:54.000	-62.762	62.762	-14.378	14.378	-0.245	0.245	-77.384	77.384	49.996
21.07.2022	07:39:55.000	-62.880	62.880	-14.335	14.335	-0.170	0.170	-77.385	77.385	49.999
21.07.2022	07:39:56.000	-63.118	63.118	-14.365	14.365	0.249	0.249	-77.233	77.233	49.999
21.07.2022	07:39:57.000	-62.689	62.689	-14.386	14.386	-0.205	0.205	-77.280	77.280	49.997
21.07.2022	07:39:58.000	-62.934	62.934	-14.322	14.322	-0.266	0.266	-77.522	77.522	49.995
21.07.2022	07:39:59.000	-63.011	63.011	-14.146	14.146	0.064	0.064	-77.092	77.092	49.993
21.07.2022	07:40:00.000	-62.567	62.567	-14.408	14.408	-0.016	0.016	-76.991	76.991	49.994
