Messdaten Export PQ-Box 300		Seriennummer: 2008-208

Messung: 20221013_0731_000, 2022-06-30_Linda2.0_Netz, Blöcktach, , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 13.10.2022	07:31:16.000 - 13.10.2022	17:28:18.000

Datum	Zeit	'P_L1_[W]'	'P_L1_[W]'_abs	'P_L2_[W]'	'P_L2_[W]'_abs	'P_L3_[W]'	'P_L3_[W]'_abs	'P_total_[W]'	'P_total_[W]'_abs	'F_[Hz]'
13.10.2022	07:31:16.000	-54.858	54.858	5.370	5.370	-844.911	844.911	-894.399	894.399	49.994
13.10.2022	07:31:17.000	-55.003	55.003	3.197	3.197	-844.374	844.374	-896.179	896.179	49.992
13.10.2022	07:31:18.000	-54.802	54.802	2.278	2.278	-845.512	845.512	-898.035	898.035	49.990
13.10.2022	07:31:19.000	-55.104	55.104	1.778	1.778	-844.997	844.997	-898.323	898.323	49.990
13.10.2022	07:31:20.000	-54.895	54.895	2.025	2.025	-844.966	844.966	-897.836	897.836	49.991
13.10.2022	07:31:21.000	-54.920	54.920	2.172	2.172	-844.644	844.644	-897.392	897.392	49.992
13.10.2022	07:31:22.000	-55.147	55.147	2.106	2.106	-843.549	843.549	-896.591	896.591	49.991
13.10.2022	07:31:23.000	-54.996	54.996	1.931	1.931	-843.619	843.619	-896.684	896.684	49.991
13.10.2022	07:31:24.000	-54.992	54.992	2.250	2.250	-843.217	843.217	-895.959	895.959	49.991
13.10.2022	07:31:25.000	-54.869	54.869	1.907	1.907	-842.792	842.792	-895.755	895.755	49.992
13.10.2022	07:31:26.000	-54.931	54.931	1.920	1.920	-842.670	842.670	-895.681	895.681	49.993
13.10.2022	07:31:27.000	-54.918	54.918	2.169	2.169	-842.703	842.703	-895.452	895.452	49.992
13.10.2022	07:31:28.000	-54.888	54.888	1.965	1.965	-842.307	842.307	-895.230	895.230	49.991
13.10.2022	07:31:29.000	-54.774	54.774	1.864	1.864	-841.728	841.728	-894.639	894.639	49.989
13.10.2022	07:31:30.000	-54.901	54.901	1.899	1.899	-843.748	843.748	-896.751	896.751	49.989
13.10.2022	07:31:31.000	-54.957	54.957	1.935	1.935	-843.953	843.953	-896.975	896.975	49.990
13.10.2022	07:31:32.000	-54.729	54.729	2.118	2.118	-843.581	843.581	-896.192	896.192	49.990
13.10.2022	07:31:33.000	-55.029	55.029	2.084	2.084	-843.595	843.595	-896.539	896.539	49.991
13.10.2022	07:31:34.000	-54.866	54.866	2.045	2.045	-843.895	843.895	-896.716	896.716	49.991
13.10.2022	07:31:35.000	-54.836	54.836	2.033	2.033	-843.778	843.778	-896.580	896.580	49.992
13.10.2022	07:31:36.000	-54.881	54.881	1.902	1.902	-843.453	843.453	-896.432	896.432	49.993
13.10.2022	07:31:37.000	-54.711	54.711	2.135	2.135	-843.407	843.407	-895.984	895.984	49.994
13.10.2022	07:31:38.000	-54.757	54.757	2.127	2.127	-843.363	843.363	-895.993	895.993	49.994
13.10.2022	07:31:39.000	-54.808	54.808	2.275	2.275	-843.580	843.580	-896.113	896.113	49.996
13.10.2022	07:31:40.000	-54.839	54.839	1.764	1.764	-842.748	842.748	-895.823	895.823	49.996
13.10.2022	07:31:41.000	-54.871	54.871	1.907	1.907	-842.705	842.705	-895.669	895.669	49.995
13.10.2022	07:31:42.000	-54.690	54.690	2.101	2.101	-843.764	843.764	-896.353	896.353	49.995
13.10.2022	07:31:43.000	-54.980	54.980	2.094	2.094	-844.079	844.079	-896.965	896.965	49.996
13.10.2022	07:31:44.000	-54.744	54.744	2.106	2.106	-843.630	843.630	-896.268	896.268	49.995
13.10.2022	07:31:45.000	-54.879	54.879	2.252	2.252	-843.371	843.371	-895.998	895.998	49.995
13.10.2022	07:31:46.000	-54.732	54.732	2.177	2.177	-842.982	842.982	-895.537	895.537	49.996
13.10.2022	07:31:47.000	-54.681	54.681	2.042	2.042	-842.636	842.636	-895.275	895.275	49.996
13.10.2022	07:31:48.000	-54.829	54.829	2.108	2.108	-842.665	842.665	-895.385	895.385	49.998
13.10.2022	07:31:49.000	-54.778	54.778	2.087	2.087	-842.258	842.258	-894.948	894.948	50.000
13.10.2022	07:31:50.000	-54.681	54.681	2.152	2.152	-842.187	842.187	-894.717	894.717	50.001
13.10.2022	07:31:51.000	-54.589	54.589	1.912	1.912	-842.729	842.729	-895.406	895.406	50.000
13.10.2022	07:31:52.000	-54.728	54.728	2.301	2.301	-842.477	842.477	-894.904	894.904	50.001
13.10.2022	07:31:53.000	-54.701	54.701	2.125	2.125	-841.740	841.740	-894.316	894.316	50.001
13.10.2022	07:31:54.000	-54.702	54.702	1.918	1.918	-842.044	842.044	-894.828	894.828	50.000
13.10.2022	07:31:55.000	-54.941	54.941	1.976	1.976	-842.401	842.401	-895.366	895.366	49.999
13.10.2022	07:31:56.000	-54.754	54.754	1.932	1.932	-842.195	842.195	-895.017	895.017	49.997
13.10.2022	07:31:57.000	-54.660	54.660	1.927	1.927	-841.400	841.400	-894.133	894.133	49.996
