Messdaten Export PQ-Box 300		Seriennummer: 2008-208

Messung: 20221020_0812_000, 2022-06-30_Linda2.0_Netz, Huisheim, , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 20.10.2022	08:12:17.000 - 20.10.2022	14:44:35.000

Datum	Zeit	'P_L1_[W]'	'P_L1_[W]'_abs	'P_L2_[W]'	'P_L2_[W]'_abs	'P_L3_[W]'	'P_L3_[W]'_abs	'P_total_[W]'	'P_total_[W]'_abs	'F_[Hz]'
20.10.2022	08:12:17.000	13465.100	13465.100	9753.667	9753.667	10009.023	10009.023	33227.789	33227.789	50.002
20.10.2022	08:12:18.000	13242.107	13242.107	9810.020	9810.020	10000.648	10000.648	33052.773	33052.773	50.005
20.10.2022	08:12:19.000	13225.723	13225.723	9806.945	9806.945	10018.789	10018.789	33051.457	33051.457	50.005
20.10.2022	08:12:20.000	13167.488	13167.488	9638.777	9638.777	10034.404	10034.404	32840.672	32840.672	50.007
20.10.2022	08:12:21.000	13165.710	13165.710	9631.200	9631.200	9929.903	9929.903	32726.813	32726.813	50.005
20.10.2022	08:12:22.000	13132.438	13132.438	9598.148	9598.148	9957.322	9957.322	32687.908	32687.908	50.000
20.10.2022	08:12:23.000	13171.006	13171.006	9598.289	9598.289	9978.300	9978.300	32747.594	32747.594	49.999
20.10.2022	08:12:24.000	13221.620	13221.620	9592.781	9592.781	10045.358	10045.358	32859.762	32859.762	49.997
20.10.2022	08:12:25.000	13237.880	13237.880	9596.806	9596.806	9909.936	9909.936	32744.621	32744.621	50.000
20.10.2022	08:12:26.000	13164.350	13164.350	9584.050	9584.050	9905.493	9905.493	32653.891	32653.891	49.997
20.10.2022	08:12:27.000	13060.950	13060.950	9596.619	9596.619	10046.228	10046.228	32703.797	32703.797	49.999
20.10.2022	08:12:28.000	13023.687	13023.687	9591.300	9591.300	10034.316	10034.316	32649.303	32649.303	49.999
20.10.2022	08:12:29.000	13747.608	13747.608	9608.299	9608.299	9908.161	9908.161	33264.066	33264.066	49.998
20.10.2022	08:12:30.000	15049.566	15049.566	9610.982	9610.982	9957.749	9957.749	34618.297	34618.297	49.996
20.10.2022	08:12:31.000	14984.171	14984.171	9611.949	9611.949	10507.691	10507.691	35103.813	35103.813	50.002
20.10.2022	08:12:32.000	13782.151	13782.151	9615.099	9615.099	10024.369	10024.369	33421.617	33421.617	50.009
20.10.2022	08:12:33.000	13643.434	13643.434	9612.028	9612.028	10069.603	10069.603	33325.063	33325.063	50.000
20.10.2022	08:12:34.000	13267.012	13267.012	9603.728	9603.728	9878.091	9878.091	32748.828	32748.828	50.000
20.10.2022	08:12:35.000	13243.793	13243.793	9562.438	9562.438	9827.988	9827.988	32634.219	32634.219	50.000
20.10.2022	08:12:36.000	13215.514	13215.514	9531.969	9531.969	9841.211	9841.211	32588.693	32588.693	50.004
20.10.2022	08:12:37.000	13119.440	13119.440	9532.875	9532.875	9860.504	9860.504	32512.820	32512.820	49.997
20.10.2022	08:12:38.000	13117.915	13117.915	9543.775	9543.775	9978.718	9978.718	32640.410	32640.410	49.997
20.10.2022	08:12:39.000	13107.898	13107.898	9553.155	9553.155	10108.085	10108.085	32769.141	32769.141	49.999
20.10.2022	08:12:40.000	12838.077	12838.077	9535.553	9535.553	9913.778	9913.778	32287.406	32287.406	50.003
20.10.2022	08:12:41.000	12059.655	12059.655	9515.064	9515.064	9900.269	9900.269	31474.988	31474.988	50.002
20.10.2022	08:12:42.000	12086.550	12086.550	9509.034	9509.034	9979.267	9979.267	31574.852	31574.852	49.998
20.10.2022	08:12:43.000	12067.187	12067.187	9597.946	9597.946	10018.021	10018.021	31683.154	31683.154	49.998
20.10.2022	08:12:44.000	12088.430	12088.430	9595.511	9595.511	10164.852	10164.852	31848.793	31848.793	50.002
20.10.2022	08:12:45.000	12072.039	12072.039	9464.787	9464.787	9971.104	9971.104	31507.930	31507.930	49.998
20.10.2022	08:12:46.000	12075.124	12075.124	9463.123	9463.123	9966.543	9966.543	31504.789	31504.789	49.995
20.10.2022	08:12:47.000	12081.079	12081.079	9511.640	9511.640	10074.169	10074.169	31666.887	31666.887	49.996
20.10.2022	08:12:48.000	12088.826	12088.826	9600.449	9600.449	9963.570	9963.570	31652.846	31652.846	49.996
20.10.2022	08:12:49.000	12067.124	12067.124	9617.636	9617.636	10049.254	10049.254	31734.014	31734.014	49.998
20.10.2022	08:12:50.000	12008.091	12008.091	9581.579	9581.579	10162.817	10162.817	31752.488	31752.488	49.998
20.10.2022	08:12:51.000	11974.387	11974.387	9550.787	9550.787	9999.687	9999.687	31524.859	31524.859	49.999
20.10.2022	08:12:52.000	11989.731	11989.731	9519.021	9519.021	9942.532	9942.532	31451.285	31451.285	50.000
20.10.2022	08:12:53.000	12026.924	12026.924	9520.090	9520.090	10064.696	10064.696	31611.711	31611.711	49.999
20.10.2022	08:12:54.000	12099.191	12099.191	9513.062	9513.062	10019.807	10019.807	31632.061	31632.061	49.998
20.10.2022	08:12:55.000	12118.023	12118.023	9510.432	9510.432	10055.365	10055.365	31683.820	31683.820	50.003
20.10.2022	08:12:56.000	12044.160	12044.160	9540.040	9540.040	10550.857	10550.857	32135.057	32135.057	50.002
20.10.2022	08:12:57.000	12033.662	12033.662	9521.021	9521.021	9980.131	9980.131	31534.814	31534.814	50.000
20.10.2022	08:12:58.000	12054.128	12054.128	9499.438	9499.438	9902.229	9902.229	31455.795	31455.795	49.997
20.10.2022	08:12:59.000	12042.113	12042.113	9498.923	9498.923	9991.378	9991.378	31532.414	31532.414	49.998
20.10.2022	08:13:00.000	12060.738	12060.738	9494.029	9494.029	9989.845	9989.845	31544.613	31544.613	50.000
20.10.2022	08:13:01.000	12047.060	12047.060	9482.355	9482.355	9990.242	9990.242	31519.656	31519.656	49.998
20.10.2022	08:13:02.000	12047.045	12047.045	7917.653	7917.653	10094.734	10094.734	30059.434	30059.434	50.004
20.10.2022	08:13:03.000	12037.553	12037.553	7380.144	7380.144	9916.294	9916.294	29333.988	29333.988	50.001
20.10.2022	08:13:04.000	12313.396	12313.396	7420.480	7420.480	9908.036	9908.036	29641.914	29641.914	49.998
20.10.2022	08:13:05.000	12436.162	12436.162	7472.074	7472.074	9905.121	9905.121	29813.357	29813.357	49.998
20.10.2022	08:13:06.000	12151.405	12151.405	7509.669	7509.669	9916.097	9916.097	29577.172	29577.172	50.001
20.10.2022	08:13:07.000	12114.629	12114.629	7463.019	7463.019	9985.631	9985.631	29563.279	29563.279	49.997
20.10.2022	08:13:08.000	12146.432	12146.432	7459.977	7459.977	9936.048	9936.048	29542.457	29542.457	49.998
20.10.2022	08:13:09.000	12165.142	12165.142	7478.514	7478.514	9977.897	9977.897	29621.555	29621.555	49.997
20.10.2022	08:13:10.000	12174.206	12174.206	7464.816	7464.816	10071.935	10071.935	29710.957	29710.957	49.999
20.10.2022	08:13:11.000	12176.025	12176.025	7483.950	7483.950	9999.925	9999.925	29659.902	29659.902	50.001
20.10.2022	08:13:12.000	12172.446	12172.446	7500.435	7500.435	10106.736	10106.736	29779.617	29779.617	50.002
20.10.2022	08:13:13.000	12154.454	12154.454	7558.052	7558.052	9993.932	9993.932	29706.438	29706.438	50.001
20.10.2022	08:13:14.000	12034.183	12034.183	7553.299	7553.299	9942.443	9942.443	29529.924	29529.924	50.000
20.10.2022	08:13:15.000	12039.232	12039.232	7590.444	7590.444	10123.088	10123.088	29752.764	29752.764	50.000
20.10.2022	08:13:16.000	12034.276	12034.276	7662.408	7662.408	10116.013	10116.013	29812.695	29812.695	49.997
20.10.2022	08:13:17.000	12027.247	12027.247	8356.840	8356.840	9288.203	9288.203	29672.289	29672.289	49.998
20.10.2022	08:13:18.000	12070.456	12070.456	7772.310	7772.310	8673.591	8673.591	28516.355	28516.355	50.004
20.10.2022	08:13:19.000	12098.633	12098.633	7690.438	7690.438	8725.705	8725.705	28514.775	28514.775	50.000
20.10.2022	08:13:20.000	12010.551	12010.551	7632.771	7632.771	8727.863	8727.863	28371.184	28371.184	49.998
20.10.2022	08:13:21.000	11986.028	11986.028	7659.536	7659.536	9157.869	9157.869	28803.434	28803.434	49.998
20.10.2022	08:13:22.000	11984.416	11984.416	7633.433	7633.433	8889.382	8889.382	28507.230	28507.230	49.999
20.10.2022	08:13:23.000	12021.330	12021.330	7636.257	7636.257	8834.970	8834.970	28492.559	28492.559	50.000
20.10.2022	08:13:24.000	12085.301	12085.301	7634.125	7634.125	8695.055	8695.055	28414.480	28414.480	49.998
20.10.2022	08:13:25.000	12107.536	12107.536	7602.168	7602.168	8672.965	8672.965	28382.668	28382.668	49.998
