Messdaten Export PQ-Box 300		Seriennummer: 2008-208

Messung: 20221103_0926_001, 2022-06-30_Linda2.0_Netz, Schönebach, , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 03.11.2022	09:26:24.000 - 03.11.2022	16:11:22.000

Datum	Zeit	'P_L1_[W]'	'P_L1_[W]'_abs	'P_L2_[W]'	'P_L2_[W]'_abs	'P_L3_[W]'	'P_L3_[W]'_abs	'P_total_[W]'	'P_total_[W]'_abs	'F_[Hz]'
03.11.2022	09:26:24.000	6913.054	6913.054	7710.991	7710.991	7145.683	7145.683	21769.727	21769.727	50.001
03.11.2022	09:26:25.000	6323.561	6323.561	7172.711	7172.711	6541.038	6541.038	20037.309	20037.309	50.001
03.11.2022	09:26:26.000	6175.624	6175.624	7015.199	7015.199	6335.942	6335.942	19526.766	19526.766	50.002
03.11.2022	09:26:27.000	6233.401	6233.401	7080.696	7080.696	6386.018	6386.018	19700.115	19700.115	50.002
03.11.2022	09:26:28.000	6164.292	6164.292	6981.624	6981.624	6371.664	6371.664	19517.580	19517.580	49.999
03.11.2022	09:26:29.000	6237.451	6237.451	7175.263	7175.263	6343.926	6343.926	19756.641	19756.641	49.998
03.11.2022	09:26:30.000	6581.485	6581.485	7044.592	7044.592	6153.533	6153.533	19779.609	19779.609	50.000
03.11.2022	09:26:31.000	5445.616	5445.616	6537.152	6537.152	5515.616	5515.616	17498.383	17498.383	50.008
03.11.2022	09:26:32.000	5448.658	5448.658	6553.067	6553.067	5496.544	5496.544	17498.270	17498.270	49.997
03.11.2022	09:26:33.000	5429.924	5429.924	7160.490	7160.490	5450.473	5450.473	18040.887	18040.887	49.998
03.11.2022	09:26:34.000	5356.913	5356.913	6457.259	6457.259	5423.130	5423.130	17237.301	17237.301	50.001
03.11.2022	09:26:35.000	5328.738	5328.738	6415.675	6415.675	5418.875	5418.875	17163.287	17163.287	49.999
03.11.2022	09:26:36.000	5264.627	5264.627	6341.307	6341.307	5350.842	5350.842	16956.775	16956.775	50.000
03.11.2022	09:26:37.000	5236.652	5236.652	6349.471	6349.471	5321.722	5321.722	16907.844	16907.844	50.000
03.11.2022	09:26:38.000	5850.430	5850.430	5790.408	5790.408	5439.933	5439.933	17080.771	17080.771	50.002
03.11.2022	09:26:39.000	6040.443	6040.443	5629.475	5629.475	5391.304	5391.304	17061.223	17061.223	50.003
03.11.2022	09:26:40.000	6302.641	6302.641	5533.244	5533.244	5522.319	5522.319	17358.203	17358.203	50.000
03.11.2022	09:26:41.000	6513.061	6513.061	5384.717	5384.717	5449.529	5449.529	17347.307	17347.307	49.998
03.11.2022	09:26:42.000	7962.821	7962.821	6346.025	6346.025	6885.946	6885.946	21194.793	21194.793	49.998
03.11.2022	09:26:43.000	7557.989	7557.989	6107.558	6107.558	6356.666	6356.666	20022.213	20022.213	50.007
03.11.2022	09:26:44.000	7594.444	7594.444	6091.607	6091.607	6236.911	6236.911	19922.961	19922.961	50.003
03.11.2022	09:26:45.000	8097.117	8097.117	5099.885	5099.885	6175.139	6175.139	19372.141	19372.141	50.006
03.11.2022	09:26:46.000	7914.818	7914.818	4873.234	4873.234	6281.314	6281.314	19069.367	19069.367	49.999
03.11.2022	09:26:47.000	4657.682	4657.682	4004.682	4004.682	4266.006	4266.006	12928.369	12928.369	50.002
03.11.2022	09:26:48.000	2847.029	2847.029	3648.664	3648.664	3169.363	3169.363	9665.057	9665.057	49.998
03.11.2022	09:26:49.000	2823.261	2823.261	3602.388	3602.388	3107.260	3107.260	9532.910	9532.910	49.999
03.11.2022	09:26:50.000	2819.310	2819.310	3677.318	3677.318	3062.807	3062.807	9559.435	9559.435	49.998
03.11.2022	09:26:51.000	3031.735	3031.735	3968.550	3968.550	3192.675	3192.675	10192.961	10192.961	49.995
03.11.2022	09:26:52.000	3083.083	3083.083	4040.099	4040.099	3123.179	3123.179	10246.361	10246.361	49.998
03.11.2022	09:26:53.000	2757.307	2757.307	4633.192	4633.192	2843.667	2843.667	10234.167	10234.167	50.000
03.11.2022	09:26:54.000	2582.533	2582.533	4199.350	4199.350	2687.588	2687.588	9469.471	9469.471	50.002
03.11.2022	09:26:55.000	2419.492	2419.492	3403.854	3403.854	2566.861	2566.861	8390.207	8390.207	50.002
03.11.2022	09:26:56.000	2418.410	2418.410	3358.141	3358.141	2598.013	2598.013	8374.564	8374.564	49.997
03.11.2022	09:26:57.000	2410.916	2410.916	3347.246	3347.246	2573.504	2573.504	8331.666	8331.666	49.997
03.11.2022	09:26:58.000	2341.072	2341.072	3364.353	3364.353	2657.822	2657.822	8363.246	8363.246	49.998
03.11.2022	09:26:59.000	2635.837	2635.837	3619.408	3619.408	2745.423	2745.423	9000.668	9000.668	49.998
03.11.2022	09:27:00.000	2684.763	2684.763	3631.886	3631.886	2663.332	2663.332	8979.980	8979.980	50.007
03.11.2022	09:27:01.000	2680.498	2680.498	3950.869	3950.869	3169.666	3169.666	9801.033	9801.033	50.005
03.11.2022	09:27:02.000	2294.007	2294.007	3500.575	3500.575	2782.148	2782.148	8576.730	8576.730	49.996
03.11.2022	09:27:03.000	2292.218	2292.218	4143.229	4143.229	2804.199	2804.199	9239.646	9239.646	50.000
03.11.2022	09:27:04.000	2364.261	2364.261	3766.518	3766.518	2895.540	2895.540	9026.319	9026.319	49.998
03.11.2022	09:27:05.000	1765.376	1765.376	3240.003	3240.003	2213.938	2213.938	7219.318	7219.318	50.003
03.11.2022	09:27:06.000	3033.214	3033.214	4553.604	4553.604	3457.543	3457.543	11044.361	11044.361	49.994
03.11.2022	09:27:07.000	2845.559	2845.559	4411.988	4411.988	3268.111	3268.111	10525.658	10525.658	50.006
03.11.2022	09:27:08.000	2805.375	2805.375	4363.648	4363.648	3298.949	3298.949	10467.973	10467.973	49.997
03.11.2022	09:27:09.000	1722.954	1722.954	3207.719	3207.719	2182.735	2182.735	7113.408	7113.408	50.001
03.11.2022	09:27:10.000	1722.936	1722.936	3181.349	3181.349	2126.219	2126.219	7030.504	7030.504	49.996
03.11.2022	09:27:11.000	1687.922	1687.922	3190.424	3190.424	2112.899	2112.899	6991.245	6991.245	49.995
03.11.2022	09:27:12.000	1595.416	1595.416	3181.862	3181.862	2066.026	2066.026	6843.304	6843.304	49.996
03.11.2022	09:27:13.000	1233.842	1233.842	3169.779	3169.779	2161.917	2161.917	6565.539	6565.539	49.997
03.11.2022	09:27:14.000	1240.256	1240.256	4206.185	4206.185	2854.729	2854.729	8301.170	8301.170	49.995
03.11.2022	09:27:15.000	1916.016	1916.016	3355.546	3355.546	3018.099	3018.099	8289.661	8289.661	49.998
03.11.2022	09:27:16.000	1300.466	1300.466	3403.351	3403.351	2970.888	2970.888	7674.705	7674.705	50.000
03.11.2022	09:27:17.000	1356.481	1356.481	3496.491	3496.491	2855.973	2855.973	7708.945	7708.945	49.998
03.11.2022	09:27:18.000	1384.023	1384.023	3543.789	3543.789	3014.469	3014.469	7942.280	7942.280	49.999
03.11.2022	09:27:19.000	1379.598	1379.598	3469.331	3469.331	3438.098	3438.098	8287.026	8287.026	49.997
03.11.2022	09:27:20.000	1404.280	1404.280	3482.469	3482.469	3291.835	3291.835	8178.583	8178.583	50.000
03.11.2022	09:27:21.000	1391.796	1391.796	3481.146	3481.146	2930.424	2930.424	7803.366	7803.366	49.997
03.11.2022	09:27:22.000	1395.997	1395.997	3508.990	3508.990	2578.523	2578.523	7483.511	7483.511	49.997
03.11.2022	09:27:23.000	1391.282	1391.282	3541.845	3541.845	2477.080	2477.080	7410.208	7410.208	49.996
03.11.2022	09:27:24.000	1366.558	1366.558	3509.282	3509.282	2444.490	2444.490	7320.331	7320.331	49.998
03.11.2022	09:27:25.000	1391.459	1391.459	3500.844	3500.844	2421.480	2421.480	7313.783	7313.783	49.998
03.11.2022	09:27:26.000	1394.450	1394.450	3506.278	3506.278	2429.428	2429.428	7330.157	7330.157	49.997
03.11.2022	09:27:27.000	1350.541	1350.541	3498.402	3498.402	2364.344	2364.344	7213.287	7213.287	49.998
03.11.2022	09:27:28.000	1292.004	1292.004	3686.908	3686.908	2365.690	2365.690	7344.601	7344.601	49.998
03.11.2022	09:27:29.000	1551.262	1551.262	4050.257	4050.257	2368.553	2368.553	7970.072	7970.072	49.993
03.11.2022	09:27:30.000	1287.730	1287.730	3812.153	3812.153	2422.019	2422.019	7521.902	7521.902	49.998
03.11.2022	09:27:31.000	1340.335	1340.335	3793.668	3793.668	2390.080	2390.080	7524.083	7524.083	49.998
03.11.2022	09:27:32.000	1336.045	1336.045	4137.036	4137.036	2293.904	2293.904	7766.985	7766.985	49.998
03.11.2022	09:27:33.000	1305.193	1305.193	4058.800	4058.800	2146.198	2146.198	7510.190	7510.190	49.997
03.11.2022	09:27:34.000	1306.566	1306.566	3776.206	3776.206	2114.872	2114.872	7197.644	7197.644	50.000
03.11.2022	09:27:35.000	1277.977	1277.977	3768.875	3768.875	2071.372	2071.372	7118.224	7118.224	49.998
03.11.2022	09:27:36.000	900.551	900.551	3411.326	3411.326	1831.624	1831.624	6143.500	6143.500	49.997
03.11.2022	09:27:37.000	-19.947	19.947	3635.850	3635.850	888.463	888.463	4504.366	4504.366	50.001
03.11.2022	09:27:38.000	-16.645	16.645	3671.858	3671.858	886.603	886.603	4541.815	4541.815	49.999
03.11.2022	09:27:39.000	-4.093	4.093	3677.914	3677.914	874.013	874.013	4547.834	4547.834	49.997
03.11.2022	09:27:40.000	-13.961	13.961	3679.260	3679.260	870.932	870.932	4536.231	4536.231	49.999
03.11.2022	09:27:41.000	-2.569	2.569	3688.439	3688.439	874.669	874.669	4560.539	4560.539	50.001
03.11.2022	09:27:42.000	-22.633	22.633	3679.116	3679.116	876.825	876.825	4533.308	4533.308	49.999
03.11.2022	09:27:43.000	-15.529	15.529	3708.849	3708.849	951.480	951.480	4644.800	4644.800	49.999
03.11.2022	09:27:44.000	183.977	183.977	3728.111	3728.111	953.534	953.534	4865.622	4865.622	49.999
03.11.2022	09:27:45.000	491.132	491.132	3719.253	3719.253	906.647	906.647	5117.032	5117.032	49.997
03.11.2022	09:27:46.000	-21.690	21.690	3735.729	3735.729	821.064	821.064	4535.104	4535.104	50.000
03.11.2022	09:27:47.000	781.543	781.543	3759.082	3759.082	851.006	851.006	5391.631	5391.631	49.998
03.11.2022	09:27:48.000	259.846	259.846	4005.983	4005.983	879.675	879.675	5145.504	5145.504	49.995
03.11.2022	09:27:49.000	61.310	61.310	4057.489	4057.489	883.050	883.050	5001.849	5001.849	50.000
03.11.2022	09:27:50.000	65.093	65.093	3861.129	3861.129	895.518	895.518	4821.740	4821.740	50.000
03.11.2022	09:27:51.000	93.841	93.841	3832.726	3832.726	911.959	911.959	4838.525	4838.525	50.000
03.11.2022	09:27:52.000	423.423	423.423	3352.709	3352.709	887.226	887.226	4663.358	4663.358	50.002
03.11.2022	09:27:53.000	603.937	603.937	3700.662	3700.662	823.833	823.833	5128.432	5128.432	49.997
03.11.2022	09:27:54.000	600.681	600.681	3319.958	3319.958	924.482	924.482	4845.121	4845.121	50.002
03.11.2022	09:27:55.000	622.786	622.786	3331.136	3331.136	1073.678	1073.678	5027.600	5027.600	49.998
03.11.2022	09:27:56.000	604.290	604.290	3320.370	3320.370	969.699	969.699	4894.358	4894.358	49.998
03.11.2022	09:27:57.000	614.875	614.875	3415.833	3415.833	994.649	994.649	5025.356	5025.356	49.997
03.11.2022	09:27:58.000	647.117	647.117	3356.439	3356.439	1487.815	1487.815	5491.371	5491.371	49.994
03.11.2022	09:27:59.000	1236.944	1236.944	3378.444	3378.444	1381.983	1381.983	5997.371	5997.371	49.996
03.11.2022	09:28:00.000	622.635	622.635	3312.157	3312.157	1338.808	1338.808	5273.600	5273.600	50.003
03.11.2022	09:28:01.000	615.492	615.492	3254.156	3254.156	1330.784	1330.784	5200.433	5200.433	49.997
03.11.2022	09:28:02.000	630.438	630.438	3434.692	3434.692	1309.432	1309.432	5374.563	5374.563	49.999
03.11.2022	09:28:03.000	634.530	634.530	3874.739	3874.739	1269.824	1269.824	5779.093	5779.093	50.001
03.11.2022	09:28:04.000	616.491	616.491	3379.381	3379.381	1161.106	1161.106	5156.978	5156.978	50.001
03.11.2022	09:28:05.000	656.305	656.305	3382.105	3382.105	1136.427	1136.427	5174.837	5174.837	50.001
03.11.2022	09:28:06.000	664.493	664.493	3367.266	3367.266	1150.442	1150.442	5182.202	5182.202	50.000
03.11.2022	09:28:07.000	626.099	626.099	3348.283	3348.283	1092.011	1092.011	5066.395	5066.395	50.005
03.11.2022	09:28:08.000	590.138	590.138	3264.751	3264.751	1117.343	1117.343	4972.232	4972.232	50.033
03.11.2022	09:28:09.000	596.526	596.526	3207.438	3207.438	1148.059	1148.059	4952.023	4952.023	50.045
03.11.2022	09:28:10.000	605.542	605.542	3232.794	3232.794	1158.167	1158.167	4996.504	4996.504	50.054
03.11.2022	09:28:11.000	574.539	574.539	3285.517	3285.517	1135.515	1135.515	4995.571	4995.571	50.032
03.11.2022	09:28:12.000	581.194	581.194	3285.121	3285.121	1125.856	1125.856	4992.172	4992.172	50.029
03.11.2022	09:28:13.000	604.334	604.334	3210.610	3210.610	1290.096	1290.096	5105.040	5105.040	50.025
03.11.2022	09:28:14.000	2075.115	2075.115	4081.297	4081.297	2319.125	2319.125	8475.537	8475.537	50.020
03.11.2022	09:28:15.000	1201.630	1201.630	3560.012	3560.012	1694.554	1694.554	6456.196	6456.196	50.022
03.11.2022	09:28:16.000	1162.825	1162.825	3707.240	3707.240	1827.660	1827.660	6697.724	6697.724	50.006
03.11.2022	09:28:17.000	588.073	588.073	3219.463	3219.463	1219.696	1219.696	5027.232	5027.232	50.010
03.11.2022	09:28:18.000	603.935	603.935	3242.442	3242.442	1270.325	1270.325	5116.703	5116.703	50.003
03.11.2022	09:28:19.000	610.432	610.432	3237.676	3237.676	1274.157	1274.157	5122.265	5122.265	50.001
03.11.2022	09:28:20.000	637.307	637.307	3819.697	3819.697	1272.862	1272.862	5729.865	5729.865	50.003
03.11.2022	09:28:21.000	680.726	680.726	4489.922	4489.922	1235.810	1235.810	6406.458	6406.458	50.000
03.11.2022	09:28:22.000	707.540	707.540	4443.652	4443.652	1167.915	1167.915	6319.107	6319.107	50.003
03.11.2022	09:28:23.000	660.434	660.434	3784.150	3784.150	1033.914	1033.914	5478.498	5478.498	50.004
03.11.2022	09:28:24.000	666.915	666.915	3702.401	3702.401	1056.836	1056.836	5426.152	5426.152	50.003
03.11.2022	09:28:25.000	1779.041	1779.041	3898.844	3898.844	1031.320	1031.320	6709.204	6709.204	49.998
03.11.2022	09:28:26.000	721.375	721.375	3645.079	3645.079	1019.671	1019.671	5386.125	5386.125	50.008
03.11.2022	09:28:27.000	729.382	729.382	4288.129	4288.129	1006.104	1006.104	6023.614	6023.614	49.997
03.11.2022	09:28:28.000	1001.238	1001.238	3600.028	3600.028	1131.850	1131.850	5733.115	5733.115	49.999
03.11.2022	09:28:29.000	1083.879	1083.879	4507.327	4507.327	1143.452	1143.452	6734.659	6734.659	50.000
03.11.2022	09:28:30.000	745.250	745.250	3618.595	3618.595	1217.750	1217.750	5581.595	5581.595	50.005
03.11.2022	09:28:31.000	761.502	761.502	4482.516	4482.516	1295.783	1295.783	6539.802	6539.802	49.999
03.11.2022	09:28:32.000	786.045	786.045	4732.814	4732.814	1358.200	1358.200	6877.059	6877.059	49.999
03.11.2022	09:28:33.000	783.597	783.597	4523.253	4523.253	1286.778	1286.778	6593.628	6593.628	50.002
03.11.2022	09:28:34.000	752.705	752.705	4264.442	4264.442	1078.983	1078.983	6096.130	6096.130	50.000
03.11.2022	09:28:35.000	740.928	740.928	4456.707	4456.707	1054.719	1054.719	6252.354	6252.354	49.998
03.11.2022	09:28:36.000	743.102	743.102	4092.761	4092.761	1091.658	1091.658	5927.521	5927.521	49.998
03.11.2022	09:28:37.000	744.771	744.771	4434.816	4434.816	1080.193	1080.193	6259.779	6259.779	49.998
03.11.2022	09:28:38.000	760.990	760.990	3988.750	3988.750	1349.444	1349.444	6099.184	6099.184	49.997
03.11.2022	09:28:39.000	774.234	774.234	4402.958	4402.958	1286.575	1286.575	6463.766	6463.766	49.996
03.11.2022	09:28:40.000	795.369	795.369	4257.033	4257.033	1253.783	1253.783	6306.186	6306.186	49.998
03.11.2022	09:28:41.000	815.867	815.867	6024.592	6024.592	1153.174	1153.174	7993.634	7993.634	50.000
03.11.2022	09:28:42.000	792.733	792.733	4741.196	4741.196	1122.859	1122.859	6656.788	6656.788	50.001
03.11.2022	09:28:43.000	809.577	809.577	5614.809	5614.809	1080.613	1080.613	7504.998	7504.998	49.996
03.11.2022	09:28:44.000	1550.059	1550.059	4934.096	4934.096	1254.475	1254.475	7738.629	7738.629	50.002
03.11.2022	09:28:45.000	805.357	805.357	4868.733	4868.733	1176.714	1176.714	6850.804	6850.804	50.003
03.11.2022	09:28:46.000	797.357	797.357	4950.108	4950.108	1066.914	1066.914	6814.379	6814.379	50.000
03.11.2022	09:28:47.000	1197.811	1197.811	4933.613	4933.613	1060.566	1060.566	7191.990	7191.990	50.000
03.11.2022	09:28:48.000	950.422	950.422	4844.187	4844.187	1109.601	1109.601	6904.210	6904.210	49.997
03.11.2022	09:28:49.000	838.807	838.807	4710.840	4710.840	1113.795	1113.795	6663.441	6663.441	49.999
03.11.2022	09:28:50.000	864.024	864.024	4858.063	4858.063	1129.987	1129.987	6852.075	6852.075	49.999
03.11.2022	09:28:51.000	868.636	868.636	4714.986	4714.986	1106.935	1106.935	6690.557	6690.557	50.001
03.11.2022	09:28:52.000	866.250	866.250	4753.922	4753.922	1083.857	1083.857	6704.029	6704.029	49.998
03.11.2022	09:28:53.000	858.191	858.191	4636.892	4636.892	1046.575	1046.575	6541.658	6541.658	49.999
03.11.2022	09:28:54.000	861.790	861.790	4595.852	4595.852	1094.201	1094.201	6551.843	6551.843	49.999
03.11.2022	09:28:55.000	829.134	829.134	4545.523	4545.523	1061.597	1061.597	6436.255	6436.255	49.997
03.11.2022	09:28:56.000	873.703	873.703	4753.644	4753.644	1157.588	1157.588	6784.936	6784.936	49.999
03.11.2022	09:28:57.000	862.680	862.680	4498.286	4498.286	1113.389	1113.389	6474.355	6474.355	49.998
03.11.2022	09:28:58.000	1491.539	1491.539	4615.452	4615.452	1223.110	1223.110	7330.102	7330.102	49.997
03.11.2022	09:28:59.000	869.476	869.476	4562.099	4562.099	1144.526	1144.526	6576.102	6576.102	50.000
03.11.2022	09:29:00.000	889.718	889.718	4826.430	4826.430	1163.292	1163.292	6879.440	6879.440	49.998
03.11.2022	09:29:01.000	868.995	868.995	4582.692	4582.692	1148.776	1148.776	6600.464	6600.464	49.998
03.11.2022	09:29:02.000	877.671	877.671	4675.991	4675.991	1138.285	1138.285	6691.947	6691.947	49.999
03.11.2022	09:29:03.000	870.076	870.076	5201.666	5201.666	1117.168	1117.168	7188.910	7188.910	49.998
