Messdaten Export PQ-Box 300		Seriennummer: 2008-208

Messung: 20220810_0821_001, 2022-06-30_Linda2.0_Netz, Unteregg, , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 10.08.2022	08:21:32.000 - 10.08.2022	17:23:49.000

Datum	Zeit	'P_L1_[W]'	'P_L1_[W]'_abs	'P_L2_[W]'	'P_L2_[W]'_abs	'P_L3_[W]'	'P_L3_[W]'_abs	'P_total_[W]'	'P_total_[W]'_abs	'F_[Hz]'
10.08.2022	08:21:32.000	-48.736	48.736	-5.166	5.166	-72.406	72.406	-126.309	126.309	50.012
10.08.2022	08:21:33.000	-48.929	48.929	-5.046	5.046	-72.231	72.231	-126.205	126.205	50.013
10.08.2022	08:21:34.000	-48.862	48.862	-4.963	4.963	-72.153	72.153	-125.978	125.978	50.014
10.08.2022	08:21:35.000	-49.053	49.053	-4.976	4.976	-72.458	72.458	-126.487	126.487	50.016
10.08.2022	08:21:36.000	-48.811	48.811	-5.122	5.122	-72.204	72.204	-126.137	126.137	50.017
10.08.2022	08:21:37.000	-48.630	48.630	-5.123	5.123	-72.368	72.368	-126.121	126.121	50.017
10.08.2022	08:21:38.000	-49.142	49.142	-5.203	5.203	-72.836	72.836	-127.180	127.180	50.015
10.08.2022	08:21:39.000	-49.045	49.045	-5.188	5.188	-72.453	72.453	-126.687	126.687	50.014
10.08.2022	08:21:40.000	-48.637	48.637	-4.763	4.763	-72.299	72.299	-125.699	125.699	50.012
10.08.2022	08:21:41.000	-48.842	48.842	-5.107	5.107	-72.268	72.268	-126.217	126.217	50.011
10.08.2022	08:21:42.000	-48.852	48.852	-5.070	5.070	-72.972	72.972	-126.894	126.894	50.009
10.08.2022	08:21:43.000	-48.968	48.968	-4.911	4.911	-72.554	72.554	-126.433	126.433	50.007
10.08.2022	08:21:44.000	-48.911	48.911	-5.222	5.222	-72.850	72.850	-126.983	126.983	50.006
10.08.2022	08:21:45.000	-48.867	48.867	-5.155	5.155	-72.823	72.823	-126.845	126.845	50.005
10.08.2022	08:21:46.000	-48.879	48.879	-5.300	5.300	-72.894	72.894	-127.073	127.073	50.003
10.08.2022	08:21:47.000	-48.993	48.993	-5.054	5.054	-72.668	72.668	-126.715	126.715	50.002
10.08.2022	08:21:48.000	-49.052	49.052	-4.969	4.969	-72.626	72.626	-126.648	126.648	50.002
10.08.2022	08:21:49.000	-49.024	49.024	-5.112	5.112	-72.924	72.924	-127.060	127.060	50.003
10.08.2022	08:21:50.000	-48.694	48.694	-5.184	5.184	-72.674	72.674	-126.551	126.551	50.004
10.08.2022	08:21:51.000	-48.867	48.867	-5.253	5.253	-72.977	72.977	-127.097	127.097	50.005
10.08.2022	08:21:52.000	-48.855	48.855	-4.995	4.995	-72.833	72.833	-126.683	126.683	50.004
10.08.2022	08:21:53.000	-49.049	49.049	-5.180	5.180	-72.517	72.517	-126.746	126.746	50.003
10.08.2022	08:21:54.000	-48.820	48.820	-5.184	5.184	-73.190	73.190	-127.194	127.194	50.004
10.08.2022	08:21:55.000	-48.928	48.928	-5.156	5.156	-72.877	72.877	-126.961	126.961	50.005
10.08.2022	08:21:56.000	-48.909	48.909	-5.075	5.075	-72.515	72.515	-126.498	126.498	50.004
10.08.2022	08:21:57.000	-49.167	49.167	-5.176	5.176	-72.705	72.705	-127.048	127.048	50.002
10.08.2022	08:21:58.000	-48.987	48.987	-5.050	5.050	-72.685	72.685	-126.722	126.722	50.003
10.08.2022	08:21:59.000	-49.066	49.066	-5.081	5.081	-72.427	72.427	-126.574	126.574	50.004
10.08.2022	08:22:00.000	-49.202	49.202	-5.065	5.065	-72.515	72.515	-126.782	126.782	50.006
10.08.2022	08:22:01.000	-48.761	48.761	-5.133	5.133	-72.271	72.271	-126.164	126.164	50.007
10.08.2022	08:22:02.000	-48.987	48.987	-4.857	4.857	-72.097	72.097	-125.941	125.941	50.007
10.08.2022	08:22:03.000	-48.855	48.855	-5.032	5.032	-71.804	71.804	-125.691	125.691	50.007
10.08.2022	08:22:04.000	-48.958	48.958	-5.159	5.159	-71.851	71.851	-125.967	125.967	50.007
10.08.2022	08:22:05.000	-48.933	48.933	-5.147	5.147	-71.761	71.761	-125.841	125.841	50.007
10.08.2022	08:22:06.000	-49.076	49.076	-5.238	5.238	-71.609	71.609	-125.924	125.924	50.006
10.08.2022	08:22:07.000	-49.186	49.186	-5.043	5.043	-71.662	71.662	-125.891	125.891	50.005
10.08.2022	08:22:08.000	-49.030	49.030	-5.117	5.117	-71.706	71.706	-125.853	125.853	50.004
10.08.2022	08:22:09.000	-49.147	49.147	-5.095	5.095	-71.411	71.411	-125.653	125.653	50.004
10.08.2022	08:22:10.000	-49.234	49.234	-5.262	5.262	-71.602	71.602	-126.098	126.098	50.004
10.08.2022	08:22:11.000	-49.223	49.223	-4.820	4.820	-71.632	71.632	-125.674	125.674	50.004
10.08.2022	08:22:12.000	-48.842	48.842	-5.033	5.033	-71.567	71.567	-125.443	125.443	50.003
10.08.2022	08:22:13.000	-49.169	49.169	-4.929	4.929	-71.918	71.918	-126.015	126.015	50.004
10.08.2022	08:22:14.000	-49.110	49.110	-5.029	5.029	-71.550	71.550	-125.690	125.690	50.006
10.08.2022	08:22:15.000	-48.860	48.860	-4.849	4.849	-71.349	71.349	-125.059	125.059	50.007
10.08.2022	08:22:16.000	-49.038	49.038	-5.164	5.164	-71.531	71.531	-125.733	125.733	50.007
10.08.2022	08:22:17.000	-48.944	48.944	-5.279	5.279	-71.486	71.486	-125.710	125.710	50.006
10.08.2022	08:22:18.000	-49.136	49.136	-5.389	5.389	-71.472	71.472	-125.996	125.996	50.006
10.08.2022	08:22:19.000	-49.211	49.211	-5.096	5.096	-71.486	71.486	-125.793	125.793	50.005
10.08.2022	08:22:20.000	-48.890	48.890	-5.299	5.299	-71.815	71.815	-126.004	126.004	50.004
10.08.2022	08:22:21.000	-48.855	48.855	-4.901	4.901	-72.337	72.337	-126.093	126.093	50.002
10.08.2022	08:22:22.000	-49.046	49.046	-5.001	5.001	-72.107	72.107	-126.154	126.154	50.000
10.08.2022	08:22:23.000	-49.073	49.073	-5.163	5.163	-72.325	72.325	-126.561	126.561	49.999
10.08.2022	08:22:24.000	-48.896	48.896	-5.185	5.185	-72.273	72.273	-126.355	126.355	49.998
10.08.2022	08:22:25.000	-49.248	49.248	-5.020	5.020	-72.152	72.152	-126.420	126.420	49.997
10.08.2022	08:22:26.000	-48.963	48.963	-4.954	4.954	-71.988	71.988	-125.905	125.905	49.995
10.08.2022	08:22:27.000	-48.970	48.970	-5.226	5.226	-71.968	71.968	-126.164	126.164	49.995
10.08.2022	08:22:28.000	-49.072	49.072	-5.155	5.155	-72.180	72.180	-126.406	126.406	49.995
10.08.2022	08:22:29.000	-48.793	48.793	-5.012	5.012	-72.028	72.028	-125.834	125.834	49.996
10.08.2022	08:22:30.000	-48.937	48.937	-4.970	4.970	-72.122	72.122	-126.030	126.030	49.995
10.08.2022	08:22:31.000	-49.322	49.322	-5.060	5.060	-72.112	72.112	-126.495	126.495	49.996
10.08.2022	08:22:32.000	-49.041	49.041	-5.181	5.181	-72.143	72.143	-126.365	126.365	49.996
10.08.2022	08:22:33.000	-49.042	49.042	-4.906	4.906	-71.807	71.807	-125.756	125.756	49.997
10.08.2022	08:22:34.000	-49.229	49.229	-5.075	5.075	-71.938	71.938	-126.242	126.242	49.997
10.08.2022	08:22:35.000	-49.008	49.008	-4.995	4.995	-72.134	72.134	-126.137	126.137	49.996
10.08.2022	08:22:36.000	-49.015	49.015	-4.783	4.783	-71.951	71.951	-125.750	125.750	49.995
10.08.2022	08:22:37.000	-48.891	48.891	-4.866	4.866	-72.125	72.125	-125.882	125.882	49.994
10.08.2022	08:22:38.000	-49.081	49.081	-5.203	5.203	-71.978	71.978	-126.263	126.263	49.994
10.08.2022	08:22:39.000	-49.138	49.138	-5.058	5.058	-72.159	72.159	-126.355	126.355	49.994
10.08.2022	08:22:40.000	-48.985	48.985	-4.965	4.965	-72.637	72.637	-126.587	126.587	49.994
10.08.2022	08:22:41.000	-49.029	49.029	-5.269	5.269	-72.276	72.276	-126.574	126.574	49.995
10.08.2022	08:22:42.000	-49.118	49.118	-4.806	4.806	-72.142	72.142	-126.066	126.066	49.996
10.08.2022	08:22:43.000	-49.012	49.012	-5.009	5.009	-72.049	72.049	-126.070	126.070	49.997
10.08.2022	08:22:44.000	-49.034	49.034	-5.060	5.060	-72.285	72.285	-126.380	126.380	49.997
10.08.2022	08:22:45.000	-48.902	48.902	-4.986	4.986	-72.334	72.334	-126.222	126.222	49.997
10.08.2022	08:22:46.000	-48.950	48.950	-5.036	5.036	-72.354	72.354	-126.340	126.340	49.998
10.08.2022	08:22:47.000	-49.102	49.102	-4.994	4.994	-72.436	72.436	-126.532	126.532	49.999
10.08.2022	08:22:48.000	-49.102	49.102	-5.216	5.216	-72.282	72.282	-126.600	126.600	50.000
10.08.2022	08:22:49.000	-49.124	49.124	-5.354	5.354	-72.088	72.088	-126.566	126.566	50.000
10.08.2022	08:22:50.000	-49.320	49.320	-5.107	5.107	-72.199	72.199	-126.626	126.626	49.999
10.08.2022	08:22:51.000	-49.004	49.004	-5.307	5.307	-72.498	72.498	-126.810	126.810	50.000
10.08.2022	08:22:52.000	-48.858	48.858	-5.031	5.031	-72.764	72.764	-126.652	126.652	50.000
10.08.2022	08:22:53.000	-49.138	49.138	-4.973	4.973	-72.515	72.515	-126.626	126.626	50.000
10.08.2022	08:22:54.000	-48.920	48.920	-4.838	4.838	-71.882	71.882	-125.641	125.641	50.002
10.08.2022	08:22:55.000	-49.276	49.276	-5.031	5.031	-71.882	71.882	-126.190	126.190	50.003
10.08.2022	08:22:56.000	-49.240	49.240	-5.074	5.074	-72.021	72.021	-126.335	126.335	50.005
10.08.2022	08:22:57.000	-49.318	49.318	-5.207	5.207	-71.957	71.957	-126.481	126.481	50.007
10.08.2022	08:22:58.000	-49.444	49.444	-5.241	5.241	-71.859	71.859	-126.544	126.544	50.007
10.08.2022	08:22:59.000	-49.270	49.270	-5.113	5.113	-71.540	71.540	-125.923	125.923	50.006
10.08.2022	08:23:00.000	-49.617	49.617	-5.264	5.264	-71.913	71.913	-126.794	126.794	50.008
10.08.2022	08:23:01.000	-49.427	49.427	-4.959	4.959	-71.920	71.920	-126.305	126.305	50.009
